,title,title_count,title_split,new_title,type,match_score,title_level,leftover,token_set,token_set_score,type_1,token_set_title,token_sort,token_sort_score,type_2,token_sort_title,extractOne,extractOne_score,type_3,extractOne_title
198,team lead bicc,1,team lead business intelligence competency center,business intelligence,,,lead,team business intelligence competency center,"(business intelligence, 100, great)",100.0,great,business intelligence,"(business intelligence, 65, great)",65.0,,,"(business intelligence, 90, great)",90.0,great,business intelligence
199,t senior manager - vendor management - ocio,1,senior manager vendor management ocio,,,,senior manager,vendor management ocio,"(data management, 80, great)",80.0,,,"(data management, 54, great)",54.0,,,"(data management, 76, great)",76.0,,
200,"svp, risk integration data quality manager",1,senior vice president risk integration data quality manager,,,,senior vice president manager,risk integration data quality,"(data analysis, 57, common)",57.0,,,"(master data governance, 51, great)",51.0,,,"(chief data officer, 86, great)",86.0,,
201,"svp, cio enterprise application developm",1,senior vice president chief information officer enterprise application developm,,,,senior vice president,chief information officer enterprise application developm,"(chief information officer, 100, common)",100.0,common,chief information officer,"(chief information officer, 61, common)",61.0,,,"(chief data officer, 86, great)",86.0,,
202,"svp, cio & enterprise transformation leader",1,senior vice president chief information officer enterprise transformation leader,,,,senior vice president leader,chief information officer enterprise transformation,"(chief information officer, 100, common)",100.0,common,chief information officer,"(chief information officer, 66, common)",66.0,,,"(chief data officer, 86, great)",86.0,,
203,"svp, chief data officer",1,senior vice president chief data officer,chief data officer,,,senior vice president,,,,,,,,,,,,,
204,"svp, (it sponsor)",1,senior vice president it sponsor,,,,senior vice president,it sponsor,"(solutions architect, 48, common)",48.0,,,"(solutions architect, 48, common)",48.0,,,"(information architect, 43, great)",43.0,,
205,svp of corporate services,1,senior vice president of corporate services,,,,senior vice president,corporate services,"(data services, 76, great)",76.0,,,"(data services, 71, great)",71.0,,,"(data services, 72, great)",72.0,,
206,svp delivery and customer success,1,senior vice president delivery and customer success,,,,senior vice president,delivery customer success,"(business intelligence, 43, great)",43.0,,,"(business intelligence, 43, great)",43.0,,,"(data services, 42, great)",42.0,,
207,svp data management and bi,1,senior vice president data management and business intelligence,data management,,,senior vice president,data management business intelligence,"(data management, 100, great)",100.0,great,data management,"(business intelligence, 72, great)",72.0,,,"(data management, 90, great)",90.0,great,data management
208,svp chief op rick officer,1,senior vice president chief op rick officer,,,,senior vice president,chief op rick officer,"(chief risk officer, 87, common)",87.0,,,"(chief risk officer, 87, common)",87.0,,,"(chief operating officer, 82, great)",82.0,,
209,svp chief consumer credit risk officer,1,senior vice president chief consumer credit risk officer,,,,senior vice president,chief consumer credit risk officer,"(chief risk officer, 100, common)",100.0,common,chief risk officer,"(chief risk officer, 69, common)",69.0,,,"(chief data officer, 86, great)",86.0,,
210,svp analytics,1,senior vice president analytics,analytics,,,senior vice president,,,,,,,,,,,,,
211,svp - business intelligence (functions as cdo),1,senior vice president business intelligence functions as chief data officer,chief data officer,,,senior vice president,business intelligence functions as chief data officer,"(chief data officer, 100, great)",100.0,great,chief data officer,"(business intelligence, 57, great)",57.0,,,"(chief data officer, 90, great)",90.0,great,chief data officer
212,supply chain intelligence,1,supply chain intelligence,,,,,,,,,,,,,,,,,
213,supplier oversight analyst - vendor management,1,supplier oversight analyst vendor management,,,,,,,,,,,,,,,,,
214,supervisor static data data management,1,supervisor static data data management,,,,,,,,,,,,,,,,,
215,strategist,1,strategist,,,,strategist,,,,,,,,,,,,,
216,strategic sourcing consultant supply chain management,1,strategic sourcing consultant supply chain management,,,,consultant,strategic supply chain management,"(data management, 80, great)",80.0,,,"(assessor quality management, 53, common)",53.0,,,"(information management, 86, great)",86.0,,
217,strategic communications specialist,1,strategic communications specialist,,,,specialist,strategic communications,"(information technology, 48, common)",48.0,,,"(information technology, 48, common)",48.0,,,"(analytics, 50, great)",50.0,,
218,staff director,1,staff director,ignore,,,director,staff,"(chief data officer, 35, great)",35.0,,,"(chief data officer, 35, great)",35.0,,,"(chief data officer, 54, great)",54.0,,
219,sr. systems analyst,1,senior systems analyst,systems analyst,,,senior,,,,,,,,,,,,,
220,sr. risk officer - international finance corporation,1,senior risk officer international finance corporation,,,,senior,risk officer international finance corporation,"(chief risk officer, 80, common)",80.0,,,"(chief information officer, 56, common)",56.0,,,"(chief data officer, 86, great)",86.0,,
221,sr. project lead,1,senior project lead,,,,senior project lead,,,,,,,,,,,,,
222,sr. portfolio manager - eim - it - business planning & management,1,senior portfolio manager enterprise information management it business planning management,information management,,,senior manager,portfolio enterprise information management it business planning management,"(information management, 100, great)",100.0,great,information management,"(enterprise information management, 61, common)",61.0,,,"(information management, 90, great)",90.0,great,information management
223,sr. manager software engineering and product management,1,senior manager software engineering and product management,,,,senior manager,software engineering product management,"(data engineering, 81, common)",81.0,,,"(software engineer, 61, common)",61.0,,,"(information management, 86, great)",86.0,,
224,sr. manager it data strategy,1,senior manager it data strategy,,,,senior manager,it data strategy,"(data architecture, 61, great)",61.0,,,"(master data, 59, great)",59.0,,,"(data architecture, 58, great)",58.0,,
225,sr. manager data governance,1,senior manager data governance,data governance,,,senior manager,,,,,,,,,,,,,
226,sr. manager - data analytics,1,senior manager data analytics,data analytics,,,senior manager,,,,,,,,,,,,,
227,sr. manager â€“ data analysis,1,senior manager data analysis,data analysis,,,senior manager,,,,,,,,,,,,,
228,sr. manager,1,senior manager,,,,senior manager,,,,,,,,,,,,,
229,sr. information architect - global architecture,1,senior information architect global architecture,information architect,,,senior global,information architect architecture,"(information architect, 100, great)",100.0,great,information architect,"(information architect, 76, great)",76.0,,,"(information architect, 90, great)",90.0,great,information architect
230,sr. enterprise architect,1,senior enterprise architect,,,,senior,enterprise architect,"(architect, 100, common)",100.0,common,architect,"(etl architect, 73, common)",73.0,,,"(data architect, 74, great)",74.0,,
231,"sr. director, data management and reporting",1,senior director data management and reporting,data management,,,senior director,data management reporting,"(data management, 100, great)",100.0,great,data management,"(data management, 75, great)",75.0,,,"(data management, 90, great)",90.0,great,data management
232,sr. director of compliance north america,1,senior director of compliance north america,,,,senior director,compliance north america,"(chief compliance officer, 63, common)",63.0,,,"(chief compliance officer, 63, common)",63.0,,,"(data services, 45, great)",45.0,,
233,sr. director,1,senior director,,,,senior director,,,,,,,,,,,,,
234,sr. direcror - application development,1,senior direcror application development,,,,senior,direcror application development,"(application development, 100, common)",100.0,common,application development,"(application development, 84, common)",84.0,,,"(information management, 52, great)",52.0,,
235,sr. dir of  customer service and business process optimization,1,senior director of customer service and business process optimization,,,,senior director,customer service business process optimization,"(business analyst, 67, great)",67.0,,,"(business solutions, 50, common)",50.0,,,"(business intelligence, 86, great)",86.0,,
236,sr. data governance analyst,1,senior data governance analyst,data governance,,,senior,data governance analyst,"(data governance, 100, great)",100.0,great,data governance,"(data governance, 79, great)",79.0,,,"(data governance, 90, great)",90.0,great,data governance
237,sr. data analyst and architect,1,senior data analyst and architect,,,,senior,data analyst architect,"(data architect, 100, great)",100.0,great,data architect,"(data architect, 78, great)",78.0,,,"(data services, 86, great)",86.0,,
238,sr. data analysis manager,1,senior data analysis manager,data analysis,,,senior manager,,,,,,,,,,,,,
239,sr. consultant â€“ finance | data governance program office,1,senior consultant finance data governance program office,data governance,,,senior consultant program,finance data governance,"(data governance, 100, great)",100.0,great,data governance,"(data governance, 79, great)",79.0,,,"(data governance, 90, great)",90.0,great,data governance
240,sr. business & data analyst - dg lead,1,senior business data analyst data governance lead,data governance,,,senior lead,business data analyst data governance,"(data governance, 100, great)",100.0,great,data governance,"(business analyst, 60, great)",60.0,,,"(data governance, 90, great)",90.0,great,data governance
241,"sr. architect, business intelligence",1,senior architect business intelligence,business intelligence,great,95.0,senior,,"(business intelligence, 100, great)",100.0,great,business intelligence,"(business intelligence, 81, great)",81.0,,,"(business intelligence, 95, great)",95.0,great,business intelligence
242,sr technical procurement,1,senior technical procurement,,,,senior,technical procurement,"(information technology, 51, common)",51.0,,,"(information technology, 51, common)",51.0,,,"(data management, 44, great)",44.0,,
243,sr technical manager,1,senior technical manager,ignore,,,senior manager,technical,"(etl architect, 45, common)",45.0,,,"(etl architect, 45, common)",45.0,,,"(data architect, 43, great)",43.0,,
244,sr pm edm & data governance,1,senior project manager edm data governance,data governance,great,95.0,senior project manager,,"(data governance, 100, great)",100.0,great,data governance,"(data governance, 88, great)",88.0,,,"(data governance, 95, great)",95.0,great,data governance
245,"sr mgr, business intelligence",1,senior manager business intelligence,business intelligence,,,senior manager,,,,,,,,,,,,,
246,sr mgr of data management,1,senior manager of data management,data management,,,senior manager,,,,,,,,,,,,,
247,"sr manager, tech integrations it",1,senior manager tech integrations it,,,,senior manager,tech integrations it,"(information technology, 62, common)",62.0,,,"(information technology, 62, common)",62.0,,,"(information architect, 54, great)",54.0,,
248,"sr manager, bi it",1,senior manager business intelligence it,business intelligence,great,100.0,senior manager,,"(business intelligence, 100, great)",100.0,great,business intelligence,"(business intelligence, 93, great)",93.0,great,business intelligence,"(business intelligence, 95, great)",95.0,great,business intelligence
249,sr manager - bi / enterprise reporting & analytics,1,senior manager business intelligence enterprise reporting analytics,business intelligence,,,senior manager,business intelligence enterprise reporting analytics,"(business intelligence, 100, great)",100.0,great,business intelligence,"(business intelligence, 58, great)",58.0,,,"(business intelligence, 90, great)",90.0,great,business intelligence
250,sr director of infrastructure & operations,1,senior director of infrastructure operations,,,,senior director,infrastructure operations,"(operations analyst, 71, common)",71.0,,,"(operations analyst, 70, common)",70.0,,,"(information architect, 54, great)",54.0,,
251,sr director,1,senior director,,,,senior director,,,,,,,,,,,,,
252,sr data warehouse analyst,1,senior data warehouse analyst,data warehouse,,,senior,data warehouse analyst,"(data warehouse, 100, great)",100.0,great,data warehouse,"(database analyst, 79, common)",79.0,,,"(data warehouse, 90, great)",90.0,great,data warehouse
253,sr audit compliance engineer,1,senior audit compliance engineer,,,,senior,audit compliance engineer,"(systems engineer, 67, common)",67.0,,,"(chief compliance officer, 65, common)",65.0,,,"(data manager, 49, great)",49.0,,
254,"sr associate,  lead of era",1,senior associate lead of era,ignore,,,senior associate lead,era,"(data governance, 33, great)",33.0,,,"(data governance, 33, great)",33.0,,,"(chief operating officer, 90, great)",90.0,great,chief operating officer
255,"specialist, systems & process management",1,specialist systems process management,,,,specialist,systems process management,"(data management, 80, great)",80.0,,,"(systems engineer, 62, common)",62.0,,,"(data management, 86, great)",86.0,,
256,sourcing specialist,1,sourcing specialist,,,,specialist,,,,,,,,,,,,,
257,"sourcing category manager, software",1,sourcing category manager software,,,,manager,category software,"(software engineer, 71, common)",71.0,,,"(software engineer, 71, common)",71.0,,,"(data steward, 55, great)",55.0,,
258,sourcing and contract specialist,1,sourcing and contract specialist,ignore,,,specialist,contract,"(architect, 47, common)",47.0,,,"(architect, 47, common)",47.0,,,"(master data governance, 45, great)",45.0,,
259,sourcing & procurement services,1,sourcing procurement services,,,,,,,,,,,,,,,,,
260,"sourcing - associate director, information management & technology - global procurement",1,sourcing associate director information management technology global procurement,information management,,,associate director global,information management technology procurement,"(information management, 100, great)",100.0,great,information management,"(information management, 66, great)",66.0,,,"(information management, 90, great)",90.0,great,information management
261,solution architect / solution architecture / is division,1,solution architect solution architecture is division,,,,,,,,,,,,,,,,,
262,software contract negotiator,1,software contract negotiator,,,,,,,,,,,,,,,,,
263,snr. manager master data management - financial systems - verizon corporate,1,senior manager master data management financial systems verizon corporate,master data,,,senior manager,master data management financial systems verizon corporate,"(master data, 100, great)",100.0,great,master data,"(master data manager, 47, common)",47.0,,,"(master data, 90, great)",90.0,great,master data
264,senior vice president chief information officer,1,senior vice president chief information officer,chief information officer,,,senior vice president,,,,,,,,,,,,,
265,senior systems analyst (sponsored data expert),1,senior systems analyst sponsored data expert,,,,senior,systems analyst sponsored data expert,"(data analyst, 100, common)",100.0,common,data analyst,"(systems analyst, 58, common)",58.0,,,"(master data governance, 86, great)",86.0,,
266,"senior sourcing manager, cloud and application platform sourcing",1,senior sourcing manager cloud and application platform sourcing,,,,senior manager,cloud application platform,"(application development, 65, common)",65.0,,,"(application development, 65, common)",65.0,,,"(chief operating officer, 41, great)",41.0,,
267,senior software engineer,1,senior software engineer,software engineer,,,senior,,,,,,,,,,,,,
268,"senior project manager, project management office",1,senior project manager project management office,ignore,,,senior project manager project,management,"(information management, 100, great)",100.0,great,information management,"(data management, 80, great)",80.0,,,"(information management, 90, great)",90.0,great,information management
269,"senior project manager, it pmo",1,senior project manager it project management office,,,,senior project manager project,it management,"(information management, 87, great)",87.0,,,"(data management, 86, great)",86.0,,,"(information management, 86, great)",86.0,,
270,"senior project manager â€“ reference data, quality and governance",1,senior project manager reference data quality and governance,,,,senior project manager,reference data quality governance,"(data governance, 100, great)",100.0,great,data governance,"(master data governance, 73, great)",73.0,,,"(master data governance, 86, great)",86.0,,
271,senior program manager,1,senior program manager,,,,senior program manager,,,,,,,,,,,,,
272,senior procurement analyst global sourcing strategies,1,senior procurement analyst global sourcing strategies,,,,senior global,procurement analyst strategies,"(data analyst, 74, common)",74.0,,,"(operations analyst, 63, common)",63.0,,,"(business analyst, 86, great)",86.0,,
273,senior partner,1,senior partner,ignore,,,senior,partner,"(data manager, 53, great)",53.0,,,"(data manager, 53, great)",53.0,,,"(data manager, 53, great)",53.0,,
274,"senior manager, enterprise model risk, analytics, and data",1,senior manager enterprise model risk analytics and data,analytics,,,senior manager,enterprise model risk analytics data,"(analytics, 100, great)",100.0,great,analytics,"(enterprise data governance, 61, common)",61.0,,,"(analytics, 90, great)",90.0,great,analytics
275,"senior manager, data management",1,senior manager data management,data management,,,senior manager,,,,,,,,,,,,,
276,"senior manager, corporate purchasing",1,senior manager corporate purchasing,,,,senior manager,corporate purchasing,"(chief operating officer, 47, great)",47.0,,,"(chief operating officer, 47, great)",47.0,,,"(chief operating officer, 45, great)",45.0,,
277,senior manager sourcing,1,senior manager sourcing,,,,senior manager,,,,,,,,,,,,,
278,senior manager finance systems,1,senior manager finance systems,,,,senior manager,finance systems,"(financial systems, 88, common)",88.0,,,"(financial systems, 88, common)",88.0,,,"(master data governance, 47, great)",47.0,,
279,senior manager data management department,1,senior manager data management department,data management,,,senior manager,data management department,"(data management, 100, great)",100.0,great,data management,"(data management, 73, great)",73.0,,,"(data management, 90, great)",90.0,great,data management
280,senior manager - isd-isd eim data quality & governance,1,senior manager isd isd enterprise information management data quality governance,information management,,,senior manager,isd isd enterprise information management data quality governance,"(information management, 100, great)",100.0,great,information management,"(enterprise information management, 67, common)",67.0,,,"(information management, 90, great)",90.0,great,information management
281,senior manager - enterprise architecture,1,senior manager enterprise architecture,,,,senior manager,enterprise architecture,"(data architecture, 83, great)",83.0,,,"(data architecture, 70, great)",70.0,,,"(data architecture, 79, great)",79.0,,
282,senior it manager enterprise data management,1,senior it manager enterprise data management,data management,,,senior manager,it enterprise data management,"(data management, 100, great)",100.0,great,data management,"(enterprise information management, 77, common)",77.0,,,"(data management, 90, great)",90.0,great,data management
283,senior it manager,1,senior it manager,ignore,,,senior manager,it,"(architect, 36, common)",36.0,,,"(architect, 36, common)",36.0,,,"(data architect, 90, great)",90.0,great,data architect
284,senior enterprise architect,1,senior enterprise architect,,,,senior,enterprise architect,"(architect, 100, common)",100.0,common,architect,"(etl architect, 73, common)",73.0,,,"(data architect, 74, great)",74.0,,
285,"senior director, search & data management strategy",1,senior director search data management strategy,data management,,,senior director,search data management strategy,"(data management, 100, great)",100.0,great,data management,"(data management, 65, great)",65.0,,,"(data management, 90, great)",90.0,great,data management
286,senior director enterprise information architecture,1,senior director enterprise information architecture,information architect,,,senior director,enterprise information architecture,"(data architecture, 83, great)",83.0,,,"(information architect, 75, great)",75.0,,,"(information architect, 90, great)",90.0,great,information architect
287,senior director data strategy and stewardship,1,senior director data strategy and stewardship,,,,senior director,data strategy stewardship,"(data steward, 65, great)",65.0,,,"(data steward, 65, great)",65.0,,,"(data services, 86, great)",86.0,,
288,senior director,1,senior director,,,,senior director,,,,,,,,,,,,,
289,senior data management analyst & associate managing director,1,senior data management analyst associate managing director,data management,,,senior associate managing director,data management analyst,"(data management, 100, great)",100.0,great,data management,"(data management, 79, great)",79.0,,,"(data management, 90, great)",90.0,great,data management
290,"senior data architect, at a prominent federal agency's enterprise data management office, part of citizant",1,senior data architect at prominent federal agency enterprise data management office part of citizant,data management,,,senior,data architect at prominent federal agency enterprise data management part citizant,"(data management, 100, great)",100.0,great,data management,"(enterprise information management, 43, common)",43.0,,,"(data management, 90, great)",90.0,great,data management
291,senior data architect,1,senior data architect,data architect,,,senior,,,,,,,,,,,,,
292,senior consultant - sourcing  | verizon services ireland ltd,1,senior consultant sourcing verizon services ireland ltd,,,,senior consultant,verizon services ireland ltd,"(data services, 76, great)",76.0,,,"(data services, 54, great)",54.0,,,"(data services, 86, great)",86.0,,
293,senior business architect,1,senior business architect,,,,senior,business architect,"(architect, 100, common)",100.0,common,architect,"(solutions architect, 76, common)",76.0,,,"(data architect, 74, great)",74.0,,
294,senior business analyst,1,senior business analyst,business analyst,,,senior,,,,,,,,,,,,,
295,"senior analyst, vendor risk management",1,senior analyst vendor risk management,,,,senior,analyst vendor risk management,"(data management, 80, great)",80.0,,,"(data management, 58, great)",58.0,,,"(data management, 86, great)",86.0,,
296,senior analyst,1,senior analyst,ignore,,,senior,analyst,"(business analyst, 100, great)",100.0,great,business analyst,"(analytics, 75, great)",75.0,,,"(business analyst, 90, great)",90.0,great,business analyst
297,sales,1,sales,,,,,,,,,,,,,,,,,
298,"responsable domaine etudes, reporting &amp; qualitã© des donnã©es",1,responsable domaine etudes reporting amp qualit des donn es,,,,,,,,,,,,,,,,,
299,reporting manager,1,reporting manager,ignore,,,manager,reporting,"(regulatory reporting, 100, common)",100.0,common,regulatory reporting,"(regulatory reporting, 62, common)",62.0,,,"(chief operating officer, 60, great)",60.0,,
300,reporting and data warehouse manager,1,reporting and data warehouse manager,data warehouse,,,manager,reporting data warehouse,"(data warehouse, 100, great)",100.0,great,data warehouse,"(data warehouse, 74, great)",74.0,,,"(data warehouse, 90, great)",90.0,great,data warehouse
301,reporting & clinical analytics,1,reporting clinical analytics,,,,,,,,,,,,,,,,,
302,"regional data manager (americas), chief data office",1,regional data manager americas chief data office,,,,manager,regional data americas chief data,"(chief data officer, 71, great)",71.0,,,"(data architect, 51, great)",51.0,,,"(master data governance, 86, great)",86.0,,
303,regional data management officer hong kong,1,regional data management officer hong kong,,,,,,,,,,,,,,,,,
304,purchasing specialist,1,purchasing specialist,ignore,,,specialist,purchasing,"(architect, 42, common)",42.0,,,"(architect, 42, common)",42.0,,,"(chief operating officer, 54, great)",54.0,,
305,project specialist,1,project specialist,,,,project specialist,,,,,,,,,,,,,
306,"project manager, project management office",1,project manager project management office,ignore,,,project manager project,management,"(information management, 100, great)",100.0,great,information management,"(data management, 80, great)",80.0,,,"(information management, 90, great)",90.0,great,information management
307,"project manager, pmo it",1,project manager project management office it,,,,project manager project,management it,"(information management, 87, great)",87.0,,,"(data management, 86, great)",86.0,,,"(information management, 86, great)",86.0,,
308,"project manager, epmo",1,project manager epmo,ignore,,,project manager,epmo,"(developer, 31, common)",31.0,,,"(developer, 31, common)",31.0,,,"(chief operating officer, 45, great)",45.0,,
309,"project manager, dq",1,project manager dq,ignore,,,project manager,dq,"(developer, 18, common)",18.0,,,"(developer, 18, common)",18.0,,,"(data services, 45, great)",45.0,,
310,project manager for the data lake project,1,project manager for the data lake project,,,,project manager project,data lake,"(master data, 70, great)",70.0,,,"(master data, 70, great)",70.0,,,"(master data governance, 86, great)",86.0,,
311,project manager / programme management group / is & pmg division,1,project manager programme management group is pmg division,,,,project manager programme,management is pmg division,"(data management, 80, great)",80.0,,,"(information management, 63, great)",63.0,,,"(data management, 86, great)",86.0,,
312,project manager (external worker),1,project manager external worker,,,,project manager,external worker,"(developer, 50, common)",50.0,,,"(developer, 50, common)",50.0,,,"(master data governance, 43, great)",43.0,,
313,project manager - data governance / data security programme,1,project manager data governance data security programme,data governance,,,project manager programme,data governance data security,"(data governance, 100, great)",100.0,great,data governance,"(master data governance, 75, great)",75.0,,,"(data governance, 90, great)",90.0,great,data governance
314,project coordinator group programme management,1,project coordinator group programme management,,,,project programme,coordinator management,"(data management, 80, great)",80.0,,,"(data management, 76, great)",76.0,,,"(data management, 76, great)",76.0,,
315,project coordinator,1,project coordinator,ignore,,,project,coordinator,"(database administrator, 42, common)",42.0,,,"(database administrator, 42, common)",42.0,,,"(information architect, 50, great)",50.0,,
316,programme manager,1,programme manager,,,,programme manager,,,,,,,,,,,,,
317,"programme director, it / special projects",1,programme director it special project,,,,programme director project,it special,"(data steward, 45, great)",45.0,,,"(data steward, 45, great)",45.0,,,"(chief operating officer, 45, great)",45.0,,
318,program manger - eim,1,program manager enterprise information management,enterprise information management,,,program manager,,,,,,,,,,,,,
319,"program manager, eim data quality & data governance",1,program manager enterprise information management data quality data governance,information management,,,program manager,enterprise information management data quality data governance,"(information management, 100, great)",100.0,great,information management,"(enterprise information management, 69, common)",69.0,,,"(information management, 90, great)",90.0,great,information management
320,procurement officer,1,procurement officer,,,,,,,,,,,,,,,,,
321,procurement manager,1,procurement manager,ignore,,,manager,procurement,"(data architecture, 43, great)",43.0,,,"(data architecture, 43, great)",43.0,,,"(information management, 42, great)",42.0,,
322,procurement lead,1,procurement lead,ignore,,,lead,procurement,"(data architecture, 43, great)",43.0,,,"(data architecture, 43, great)",43.0,,,"(information management, 42, great)",42.0,,
323,procurememnt,1,procurememnt,,,,,,,,,,,,,,,,,
324,principal information management system,1,principal information management system,information management,great,95.0,principal,,"(information management, 100, great)",100.0,great,information management,"(information management, 86, great)",86.0,,,"(information management, 95, great)",95.0,great,information management
325,principal for etl,1,principal for etl,ignore,,,principal,etl,"(etl architect, 100, common)",100.0,common,etl architect,"(etl architect, 38, common)",38.0,,,"(information management, 60, great)",60.0,,
326,principal consultant,1,principal consultant,,,,principal consultant,,,,,,,,,,,,,
327,principal,1,principal,,,,principal,,,,,,,,,,,,,
328,presales mgr,1,presales manager,ignore,,,manager,presales,"(enterprise solutions, 43, common)",43.0,,,"(enterprise solutions, 43, common)",43.0,,,"(data warehouse, 45, great)",45.0,,
329,practice manager - dw & analytics,1,practice manager data warehouse analytics,data warehouse,,,manager,practice data warehouse analytics,"(data warehouse, 100, great)",100.0,great,data warehouse,"(data warehouse, 60, great)",60.0,,,"(data warehouse, 90, great)",90.0,great,data warehouse
330,"portolio director, edge services",1,portolio director edge services,,,,director,portolio edge services,"(data services, 76, great)",76.0,,,"(data services, 63, great)",63.0,,,"(data services, 86, great)",86.0,,
331,pm - master data,1,project manager master data,master data,,,project manager,,,,,,,,,,,,,
332,pm,1,project manager,,,,project manager,,,,,,,,,,,,,
333,paypal procuremen,1,paypal procuremen,,,,,,,,,,,,,,,,,
334,"partner, advisory",1,partner advisory,,,,,,,,,,,,,,,,,
335,partner,1,partner,,,,,,,,,,,,,,,,,
336,operations officer,1,operations officer,,,,,,,,,,,,,,,,,
337,operations manager,1,operations manager,ignore,,,manager,operations,"(operations analyst, 100, common)",100.0,common,operations analyst,"(operations analyst, 71, common)",71.0,,,"(chief operating officer, 72, great)",72.0,,
338,"office of the chief information officer, enterrpise architect",1,office of the chief information officer enterrpise architect,,,,,,,,,,,,,,,,,
339,office of biometric identity management (obim) system business operations (sbo,1,office of biometric identity management obim system business operations sbo,,,,,,,,,,,,,,,,,
340,o&t campus associate,1,campus associate,ignore,,,associate,campus,"(master data, 35, great)",35.0,,,"(master data, 35, great)",35.0,,,"(master data governance, 43, great)",43.0,,
341,no longer wtih cablevision,1,no longer wtih cablevision,,,,,,,,,,,,,,,,,
346,national bi practice manager,1,national business intelligence practice manager,business intelligence,,,manager,national business intelligence practice,"(business intelligence, 100, great)",100.0,great,business intelligence,"(business intelligence, 70, great)",70.0,,,"(business intelligence, 90, great)",90.0,great,business intelligence
347,"mgr, eim",1,manager enterprise information management,enterprise information management,,,manager,,,,,,,,,,,,,
348,metadata svcs mrg,1,metadata services mrg,,,,,,,,,,,,,,,,,
349,metadata architect,1,metadata architect,,,,,,,,,,,,,,,,,
350,mdr,1,mdr,,,,,,,,,,,,,,,,,
351,mdm tooling,1,master data manager tooling,master data,,,manager,master data tooling,"(master data, 100, great)",100.0,great,master data,"(master data, 73, great)",73.0,,,"(master data, 90, great)",90.0,great,master data
352,"md strategy and operational risk, credit suisse",1,md strategy and operational risk credit suisse,,,,,,,,,,,,,,,,,
353,master data owner,1,master data owner,,,,,,,,,,,,,,,,,
354,master data manager governance & quality,1,master data manager governance quality,master data governance,great,95.0,manager,,"(master data governance, 100, great)",100.0,great,master data governance,"(master data governance, 85, great)",85.0,,,"(master data governance, 95, great)",95.0,great,master data governance
355,master data analyst,1,master data analyst,,,,,,,,,,,,,,,,,
356,"mananger, data & information",1,mananger data information,,,,,,,,,,,,,,,,,
357,"managing director, fw engineering & architecture",1,managing director fw engineering architecture,,,,managing director,fw engineering architecture,"(data architecture, 83, great)",83.0,,,"(data engineering, 65, common)",65.0,,,"(data architecture, 86, great)",86.0,,
358,"managing director, data management",1,managing director data management,data management,,,managing director,,,,,,,,,,,,,
359,"managing director, chief technology officer, data acquisition & hosting",1,managing director chief technology officer data acquisition hosting,,,,managing director,chief technology officer data acquisition hosting,"(chief data officer, 100, great)",100.0,great,chief data officer,"(chief technology officer, 66, common)",66.0,,,"(master data governance, 86, great)",86.0,,
360,managing director codit,1,managing director codit,ignore,,,managing director,codit,"(architect, 43, common)",43.0,,,"(architect, 43, common)",43.0,,,"(data architecture, 54, great)",54.0,,
361,managing director - financial systems,1,managing director financial systems,financial systems,,,managing director,,,,,,,,,,,,,
362,"manager, technology supplier management at capital one",1,manager technology supplier management at capital one,,,,manager,technology supplier management at capital one,"(data management, 80, great)",80.0,,,"(chief technology officer, 55, common)",55.0,,,"(information management, 86, great)",86.0,,
363,"manager, project portfolio mgmt and dg coordinator/lead steward",1,manager project portfolio management and data governance coordinator lead steward,data governance,,,manager project lead,portfolio management data governance coordinator steward,"(data steward, 100, great)",100.0,great,data steward,"(master data governance, 56, great)",56.0,,,"(data governance, 90, great)",90.0,great,data governance
364,"manager, information services",1,manager information services,,,,manager,information services,"(data services, 76, great)",76.0,,,"(data services, 67, great)",67.0,,,"(data services, 86, great)",86.0,,
365,"manager, information management strategy & planning at adobe",1,manager information management strategy planning at adobe,information management,,,manager,information management strategy planning at adobe,"(information management, 100, great)",100.0,great,information management,"(information management, 62, great)",62.0,,,"(information management, 90, great)",90.0,great,information management
366,"manager, global master data management",1,manager global master data management,data management,,,manager global,master data management,"(master data, 100, great)",100.0,great,master data,"(master data manager, 88, common)",88.0,,,"(data management, 95, great)",95.0,great,data management
367,"manager, ent. tech. services",1,manager ent tech services,,,,manager,ent tech services,"(data services, 76, great)",76.0,,,"(data services, 67, great)",67.0,,,"(data services, 72, great)",72.0,,
368,"manager, data management",1,manager data management,data management,,,manager,,,,,,,,,,,,,
369,"manager, data governance program office",1,manager data governance program office,data governance,,,manager program,,,,,,,,,,,,,
370,"manager, data analytics",1,manager data analytics,data analytics,,,manager,,,,,,,,,,,,,
371,"manager, business process review",1,manager business process review,,,,manager,business process review,"(business analyst, 67, great)",67.0,,,"(business systems, 62, common)",62.0,,,"(business analyst, 64, great)",64.0,,
372,"manager, business intelligence & data warehousing",1,manager business intelligence data warehousing,business intelligence,,,manager,business intelligence data warehousing,"(business intelligence, 100, great)",100.0,great,business intelligence,"(business intelligence, 71, great)",71.0,,,"(business intelligence, 90, great)",90.0,great,business intelligence
373,"manager, analytics coe",1,manager analytics coe,analytics,great,95.0,manager,,"(analytics, 100, great)",100.0,great,analytics,"(analytics, 82, great)",82.0,,,"(analytics, 95, great)",95.0,great,analytics
374,"manager, analytics",1,manager analytics,analytics,,,manager,,,,,,,,,,,,,
