,title,title_count,title_split,new_title,type,match_score,title_level,leftover,temp,score,temp_2
257,"sourcing category manager, software",1.0,sourcing category manager software,,,,manager,sourcing category software,"(big data, 57, great)",57.0,"(software engineer, 64, common)"
258,sourcing and contract specialist,1.0,sourcing and contract specialist,,,,specialist,sourcing and contract,"(data science, 50, great)",50.0,"(solutions architect, 55, common)"
259,,,,,,,,,,,
260,"sourcing - associate director, information management & technology - global procurement",1.0,sourcing associate director information management technology global procurement,information management,great,90.0,associate director global,,,90.0,"(data governance, 33, great)"
261,,,,,,,,,,,
262,,,,,,,,,,,
263,snr. manager master data management - financial systems - verizon corporate,1.0,snr manager master data management financial systems verizon corporate,data management,great,90.0,snr manager,,,90.0,"(data governance, 33, great)"
264,senior vice president chief information officer,1.0,senior vice president chief information officer,chief information officer,great,95.0,senior vice president officer,,,95.0,"(data governance, 33, great)"
265,senior systems analyst (sponsored data expert),1.0,senior systems analyst sponsored data expert,,,,senior,systems analyst sponsored data expert,"(data protection officer, 86, great)",86.0,"(data analyst, 100, great)"
266,"senior sourcing manager, cloud and application platform sourcing",1.0,senior sourcing manager cloud and application platform sourcing,,,,senior manager,sourcing cloud and application platform sourcing,"(clinical applications, 64, great)",64.0,"(application development, 65, common)"
267,senior software engineer,1.0,senior software engineer,,,,senior,software engineer,"(data manager, 48, great)",48.0,"(software engineer, 100, common)"
268,"senior project manager, project management office",1.0,senior project manager project management office,,,,senior project manager project,management office,"(identity & access management, 86, great)",86.0,"(data management, 80, great)"
269,"senior project manager, it pmo",1.0,senior project manager it project management office,,,,senior project manager project,it management office,"(data management, 76, great)",76.0,"(data management, 80, great)"
270,"senior project manager â€“ reference data, quality and governance",1.0,senior project manager reference data quality and governance,data quality,great,90.0,senior project manager,,,90.0,"(data governance, 33, great)"
271,senior program manager,1.0,senior program manager,solvency ii program manager,great,90.0,senior manager,,,90.0,"(data governance, 33, great)"
272,senior procurement analyst global sourcing strategies,1.0,senior procurement analyst global sourcing strategies,,,,senior global,procurement analyst sourcing strategies,"(data analyst, 86, great)",86.0,"(data analyst, 74, great)"
273,senior partner,1.0,senior partner,,,,senior,partner,"(data manager, 53, great)",53.0,"(data manager, 53, great)"
274,"senior manager, enterprise model risk, analytics, and data",1.0,senior manager enterprise model risk analytics and data,analytics,great,90.0,senior manager,,,90.0,"(data governance, 33, great)"
275,"senior manager, data management",1.0,senior manager data management,data management,great,100.0,senior manager,,,100.0,"(data governance, 33, great)"
276,"senior manager, corporate purchasing",1.0,senior manager corporate purchasing,,,,senior manager,corporate purchasing,"(ccar program manager, 50, great)",50.0,"(risk reporting, 47, great)"
277,senior manager sourcing,1.0,senior manager sourcing,,,,senior manager,sourcing,"(chief nursing officer, 57, great)",57.0,"(risk reporting, 45, great)"
278,senior manager finance systems,1.0,senior manager finance systems,,,,senior manager,finance systems,"(finance change management, 86, great)",86.0,"(financial systems, 88, common)"
279,senior manager data management department,1.0,senior manager data management department,data management,great,90.0,senior manager,,,90.0,"(data governance, 33, great)"
280,senior manager - isd-isd eim data quality & governance,1.0,senior manager isd isd enterprise information management data quality governance,information management,great,90.0,senior manager,,,90.0,"(data governance, 33, great)"
281,senior manager - enterprise architecture,1.0,senior manager enterprise architecture,enterprise architect,great,93.0,senior manager,,,93.0,"(data governance, 33, great)"
282,senior it manager enterprise data management,1.0,senior it manager enterprise data management,data management,great,90.0,senior manager,,,90.0,"(data governance, 33, great)"
283,senior it manager,1.0,senior it manager,data architect,great,90.0,senior manager,,,90.0,"(data governance, 33, great)"
284,senior enterprise architect,1.0,senior enterprise architect,enterprise architect,great,100.0,senior,,,100.0,"(data governance, 33, great)"
285,"senior director, search & data management strategy",1.0,senior director search data management strategy,data management,great,90.0,senior director,,,90.0,"(data governance, 33, great)"
286,senior director enterprise information architecture,1.0,senior director enterprise information architecture,information architect,great,90.0,senior director,,,90.0,"(data governance, 33, great)"
287,senior director data strategy and stewardship,1.0,senior director data strategy and stewardship,,,,senior director,data strategy and stewardship,"(risk data manager, 86, great)",86.0,"(data stewardship, 100, great)"
288,senior director,1.0,senior director,,,,senior director,,,,
289,senior data management analyst & associate managing director,1.0,senior data management analyst associate managing director,data management,great,90.0,senior associate managing director,,,90.0,"(data governance, 33, great)"
290,"senior data architect, at a prominent federal agency's enterprise data management office, part of citizant",1.0,senior data architect at prominent federal agency enterprise data management office part of citizant,data architect,great,90.0,senior of,,,90.0,"(data governance, 33, great)"
291,senior data architect,1.0,senior data architect,data architect,great,100.0,senior,,,100.0,"(data governance, 33, great)"
292,senior consultant - sourcing  | verizon services ireland ltd,1.0,senior consultant sourcing verizon services ireland ltd,,,,senior consultant,sourcing verizon services ireland ltd,"(data services, 86, great)",86.0,"(data services, 76, great)"
293,senior business architect,1.0,senior business architect,architect,great,90.0,senior,,,90.0,"(data governance, 33, great)"
294,senior business analyst,1.0,senior business analyst,,,,senior,business analyst,"(business intelligence competency center, 86, great)",86.0,"(business analyst, 100, common)"
295,"senior analyst, vendor risk management",1.0,senior analyst vendor risk management,,,,senior,analyst vendor risk management,"(group risk manager, 86, great)",86.0,"(risk change management, 81, great)"
296,senior analyst,1.0,senior analyst,data analyst,great,90.0,senior,,,90.0,"(data governance, 33, great)"
297,,,,,,,,,,,
298,,,,,,,,,,,
299,reporting manager,1.0,reporting manager,risk reporting,great,90.0,manager,,,90.0,"(data governance, 33, great)"
300,reporting and data warehouse manager,1.0,reporting and data warehouse manager,data warehouse,great,90.0,manager,,,90.0,"(data governance, 33, great)"
301,,,,,,,,,,,
302,"regional data manager (americas), chief data office",1.0,regional data manager americas chief data office,,,,manager,regional data americas chief data office,"(chief data officer, 87, great)",87.0,"(chief data officer, 71, great)"
303,regional data management officer hong kong,1.0,regional data management officer hong kong,data management,great,90.0,officer,,,90.0,"(data governance, 33, great)"
304,purchasing specialist,1.0,purchasing specialist,,,,specialist,purchasing,"(chief nursing officer, 54, great)",54.0,"(risk reporting, 42, great)"
305,project specialist,1.0,project specialist,,,,project specialist,,,,
306,"project manager, project management office",1.0,project manager project management office,,,,project manager project,management office,"(identity & access management, 86, great)",86.0,"(data management, 80, great)"
307,"project manager, pmo it",1.0,project manager project management office it,,,,project manager project,management office it,"(data management, 76, great)",76.0,"(data management, 80, great)"
308,"project manager, epmo",1.0,project manager epmo,,,,project manager,epmo,"(risk reporting, 68, great)",68.0,"(risk reporting, 33, great)"
309,"project manager, dq",1.0,project manager dq,,,,project manager,dq,"(data warehouse, 45, great)",45.0,"(data quality, 29, great)"
310,project manager for the data lake project,1.0,project manager for the data lake project,,,,project manager project,for the data lake,"(market data vendor management, 86, great)",86.0,"(big data, 67, great)"
311,project manager / programme management group / is & pmg division,1.0,project manager programme management group is pmg division,,,,project manager,programme management group is pmg division,"(identity & access management, 86, great)",86.0,"(data management, 80, great)"
312,project manager (external worker),1.0,project manager external worker,,,,project manager,external worker,"(chief medical officer, 44, great)",44.0,"(developer, 50, common)"
313,project manager - data governance / data security programme,1.0,project manager data governance data security programme,data governance,great,90.0,project manager,,,90.0,"(data governance, 33, great)"
314,project coordinator group programme management,1.0,project coordinator group programme management,,,,project,coordinator group programme management,"(finance change management, 86, great)",86.0,"(data management, 80, great)"
315,project coordinator,1.0,project coordinator,,,,project,coordinator,"(controller, 57, great)",57.0,"(controller, 57, great)"
316,programme manager,1.0,programme manager,,,,manager,programme,"(solvency ii program manager, 80, great)",80.0,"(bcbs program, 67, great)"
317,"programme director, it / special projects",1.0,programme director it special project,,,,director project,programme it special,"(bcbs program, 57, great)",57.0,"(solvency ii program manager, 55, great)"
318,program manger - eim,1.0,program manager enterprise information management,information management,great,90.0,manager,,,90.0,"(data governance, 33, great)"
319,"program manager, eim data quality & data governance",1.0,program manager enterprise information management data quality data governance,information management,great,90.0,manager,,,90.0,"(data governance, 33, great)"
320,procurement officer,1.0,procurement officer,,,,officer,procurement,"(quality improvement, 72, great)",72.0,"(quality improvement, 53, great)"
321,procurement manager,1.0,procurement manager,,,,manager,procurement,"(quality improvement, 72, great)",72.0,"(quality improvement, 53, great)"
322,procurement lead,1.0,procurement lead,,,,lead,procurement,"(quality improvement, 72, great)",72.0,"(quality improvement, 53, great)"
323,,,,,,,,,,,
324,principal information management system,1.0,principal information management system,information management,great,95.0,principal,,,95.0,"(data governance, 33, great)"
325,principal for etl,1.0,principal for etl,,,,principal,for etl,"(information architect, 61, great)",61.0,"(developer, 50, common)"
326,principal consultant,1.0,principal consultant,,,,principal consultant,,,,
327,principal,1.0,principal,,,,principal,,,,
328,presales mgr,1.0,presales manager,,,,manager,presales,"(business intelligence process, 57, great)",57.0,"(sales data, 56, great)"
329,practice manager - dw & analytics,1.0,practice manager data warehouse analytics,data warehouse,great,90.0,manager,,,90.0,"(data governance, 33, great)"
330,"portolio director, edge services",1.0,portolio director edge services,,,,director,portolio edge services,"(data services, 86, great)",86.0,"(data services, 76, great)"
331,pm - master data,1.0,project manager master data,master data governance,great,90.0,project manager,,,90.0,"(data governance, 33, great)"
332,pm,1.0,project manager,,,,project manager,,,,
333,,,,,,,,,,,
334,,,,,,,,,,,
335,,,,,,,,,,,
336,operations officer,1.0,operations officer,,,,officer,operations,"(chief information officer, 63, great)",63.0,"(operations analyst, 100, common)"
337,operations manager,1.0,operations manager,,,,manager,operations,"(chief information officer, 63, great)",63.0,"(operations analyst, 100, common)"
338,"office of the chief information officer, enterrpise architect",1.0,office of the chief information officer enterrpise architect,architect,great,90.0,of officer,,,90.0,"(data governance, 33, great)"
339,office of biometric identity management (obim) system business operations (sbo,1.0,office of biometric identity management obim system business operations sbo,,,,of,office biometric identity management obim system business operations sbo,"(business intelligence competency center, 86, great)",86.0,"(identity & access management, 84, great)"
340,o&t campus associate,1.0,campus associate,,,,associate,campus,"(business intelligence competency center, 45, great)",45.0,"(ccar, 40, great)"
341,,,,,,,,,,,
346,national bi practice manager,1.0,national business intelligence practice manager,business intelligence,great,90.0,manager,,,90.0,"(data governance, 33, great)"
347,"mgr, eim",1.0,manager enterprise information management,information management,great,90.0,manager,,,90.0,"(data governance, 33, great)"
348,,,,,,,,,,,
349,,,,,,,,,,,
350,,,,,,,,,,,
351,mdm tooling,1.0,master data manager tooling,,,,manager,master data tooling,"(market data vendor management, 86, great)",86.0,"(master data manager, 74, common)"
352,,,,,,,,,,,
353,,,,,,,,,,,
354,master data manager governance & quality,1.0,master data manager governance quality,master data governance,great,95.0,manager,,,95.0,"(data governance, 33, great)"
355,,,,,,,,,,,
356,,,,,,,,,,,
357,"managing director, fw engineering & architecture",1.0,managing director fw engineering architecture,architecture,great,90.0,managing director,,,90.0,"(data governance, 33, great)"
358,"managing director, data management",1.0,managing director data management,data management,great,100.0,managing director,,,100.0,"(data governance, 33, great)"
359,"managing director, chief technology officer, data acquisition & hosting",1.0,managing director chief technology officer data acquisition hosting,,,,managing director officer,chief technology data acquisition hosting,"(data protection officer, 86, great)",86.0,"(chief technology officer, 80, common)"
360,managing director codit,1.0,managing director codit,,,,managing director,codit,"(data scientist, 54, great)",54.0,"(architect, 43, great)"
361,managing director - financial systems,1.0,managing director financial systems,,,,managing director,financial systems,"(chief financial officer, 66, great)",66.0,"(financial systems, 100, common)"
362,"manager, technology supplier management at capital one",1.0,manager technology supplier management at capital one,,,,manager,technology supplier management at capital one,"(identity & access management, 86, great)",86.0,"(data management, 80, great)"
363,"manager, project portfolio mgmt and dg coordinator/lead steward",1.0,manager project portfolio management and data governance coordinator lead steward,data governance,great,90.0,manager project lead,,,90.0,"(data governance, 33, great)"
364,"manager, information services",1.0,manager information services,,,,manager,information services,"(data services, 86, great)",86.0,"(information governance, 76, great)"
365,"manager, information management strategy & planning at adobe",1.0,manager information management strategy planning at adobe,information management,great,90.0,manager,,,90.0,"(data governance, 33, great)"
366,"manager, global master data management",1.0,manager global master data management,data management,great,95.0,manager global,,,95.0,"(data governance, 33, great)"
367,"manager, ent. tech. services",1.0,manager ent tech services,,,,manager,ent tech services,"(data services, 72, great)",72.0,"(data services, 76, great)"
368,"manager, data management",1.0,manager data management,data management,great,100.0,manager,,,100.0,"(data governance, 33, great)"
369,"manager, data governance program office",1.0,manager data governance program office,data governance,great,90.0,manager,,,90.0,"(data governance, 33, great)"
370,"manager, data analytics",1.0,manager data analytics,analytics,great,90.0,manager,,,90.0,"(data governance, 33, great)"
371,"manager, business process review",1.0,manager business process review,,,,manager,business process review,"(business intelligence competency center, 86, great)",86.0,"(business intelligence process, 82, great)"
372,"manager, business intelligence & data warehousing",1.0,manager business intelligence data warehousing,business intelligence,great,90.0,manager,,,90.0,"(data governance, 33, great)"
373,"manager, analytics coe",1.0,manager analytics coe,analytics,great,95.0,manager,,,95.0,"(data governance, 33, great)"
374,"manager, analytics",1.0,manager analytics,analytics,great,100.0,manager,,,100.0,"(data governance, 33, great)"
375,"manager -transportation, distribution, and database reporting",1.0,manager transportation distribution and database reporting,,,,manager,transportation distribution and database reporting,"(risk reporting, 86, great)",86.0,"(risk reporting, 78, great)"
376,"manager of data management, enterprise data governance",1.0,manager of data management enterprise data governance,data governance,great,90.0,manager of,,,90.0,"(data governance, 33, great)"
377,manager of data governance,1.0,manager of data governance,data governance,great,100.0,manager of,,,100.0,"(data governance, 33, great)"
378,manager of data architecture,1.0,manager of data architecture,data architecture,great,100.0,manager of,,,100.0,"(data governance, 33, great)"
379,manager it architecture,1.0,manager it architecture,architecture,great,95.0,manager,,,95.0,"(data governance, 33, great)"
380,manager is data governance process,1.0,manager is data governance process,data governance,great,90.0,manager,,,90.0,"(data governance, 33, great)"
381,manager enterprise data governance program,1.0,manager enterprise data governance program,data governance,great,90.0,manager,,,90.0,"(data governance, 33, great)"
382,manager e&p data and solutions,1.0,manager data and solutions,,,,manager,data and solutions,"(market data vendor management, 86, great)",86.0,"(big data, 67, great)"
383,manager cris support,1.0,manager cris support,,,,manager,cris support,"(descision support, 76, great)",76.0,"(descision support, 76, great)"
384,manager corporate solutions data governance americas region,1.0,manager corporate solutions data governance americas region,data governance,great,90.0,manager,,,90.0,"(data governance, 33, great)"
385,manager business operations - no longer there,1.0,manager business operations no longer there,,,,manager,business operations no longer there,"(business intelligence, 86, great)",86.0,"(operations analyst, 71, common)"
386,"manager - vsource, vzw ps & corporate & scv",1.0,manager vsource vzw ps corporate scv,,,,manager,vsource vzw ps corporate scv,"(risk reporting, 45, great)",45.0,"(chief medical informatics officer, 39, great)"
387,manager - tech,1.0,manager tech,,,,manager,tech,"(data protection officer, 68, great)",68.0,"(architect, 46, great)"
388,manager - global customer data,1.0,manager global customer data,customer data management,great,90.0,manager global,,,90.0,"(data governance, 33, great)"
389,manager - change management,1.0,manager change management,finance change management,great,95.0,manager,,,95.0,"(data governance, 33, great)"
390,management consultant,1.0,management consultant,identity & access management,great,90.0,consultant,,,90.0,"(data governance, 33, great)"
391,,,,,,,,,,,
392,,,,,,,,,,,
393,lead solutions architect quantitative sciences it,1.0,lead solutions architect quantitative sciences it,architect,great,90.0,lead,,,90.0,"(data governance, 33, great)"
394,lead engineer,1.0,lead engineer,,,,lead,engineer,"(solvency ii program manager, 45, great)",45.0,"(systems engineer, 100, common)"
395,lead data analyst,1.0,lead data analyst,data analyst,great,100.0,lead,,,100.0,"(data governance, 33, great)"
396,lead contracts manager,1.0,lead contracts manager,,,,lead manager,contracts,"(controller, 53, great)",53.0,"(controller, 53, great)"
397,lead associate - financial systems manager,1.0,lead associate financial systems manager,,,,lead associate manager,financial systems,"(chief financial officer, 66, great)",66.0,"(financial systems, 100, common)"
398,,,,,,,,,,,
399,it supervisory specialist,1.0,it supervisory specialist,,,,specialist,it supervisory,"(data services, 59, great)",59.0,"(data services, 59, great)"
400,it sr mngr,1.0,it senior mngr,,,,senior,it mngr,"(data quality manager, 64, great)",64.0,"(data manager, 63, great)"
401,it specialist / program analyst,1.0,it specialist program analyst,,,,specialist,it program analyst,"(solvency ii program manager, 86, great)",86.0,"(data analyst, 74, great)"
402,,,,,,,,,,,
403,,,,,,,,,,,
404,it project manager analytics,1.0,it project manager analytics,analytics,great,95.0,project manager,,,95.0,"(data governance, 33, great)"
405,it process consultant,1.0,it process consultant,,,,consultant,it process,"(business intelligence process, 86, great)",86.0,"(business intelligence process, 82, great)"
406,it officer,1.0,it officer,data architect,great,90.0,officer,,,90.0,"(data governance, 33, great)"
407,it mgr,1.0,it manager,data architect,great,90.0,manager,,,90.0,"(data governance, 33, great)"
408,it manager - enterprise data architecture and data quality,1.0,it manager enterprise data architecture and data quality,data architect,great,90.0,manager,,,90.0,"(data governance, 33, great)"
409,,,,,,,,,,,
410,"it director, mdm",1.0,it director master data manager,,,,director manager,it master data,"(market data vendor management, 86, great)",86.0,"(master data governance, 88, great)"
411,it director and business partner - gsp americas,1.0,it director and business partner gsp americas,,,,director,it and business partner gsp americas,"(business intelligence, 86, great)",86.0,"(business analyst, 67, common)"
412,it business partner / transformative technology leader,1.0,it business partner transformative technology leader,,,,leader,it business partner transformative technology,"(business intelligence process, 86, great)",86.0,"(business analyst, 67, common)"
413,it asset manager,1.0,it asset manager,,,,manager,it asset,"(identity & access management, 54, great)",54.0,"(data scientist, 55, great)"
414,it & portfolio manager,1.0,it portfolio manager,,,,manager,it portfolio,"(risk reporting, 54, great)",54.0,"(information architect, 48, great)"
415,it - lead data architect for harvard data warehouse,1.0,it lead data architect for harvard data warehouse,data warehouse,great,90.0,lead,,,90.0,"(data governance, 33, great)"
416,,,,,,,,,,,
417,is manager data governance,1.0,is manager data governance,data governance,great,95.0,manager,,,95.0,"(data governance, 33, great)"
418,is governance contact - data steward lead,1.0,is governance contact data steward lead,data steward,great,90.0,lead,,,90.0,"(data governance, 33, great)"
419,investment bank cdo,1.0,investment bank chief data officer,,,,officer,investment bank chief data,"(risk data manager, 86, great)",86.0,"(chief investment officer, 80, common)"
420,,,,,,,,,,,
421,information technology specialist,1.0,information technology specialist,,,,specialist,information technology,"(informatics, 74, great)",74.0,"(information technology, 100, common)"
422,,,,,,,,,,,
423,information technology,1.0,information technology,information technology,common,100.0,,,,,
424,,,,,,,,,,,
425,information management manager,1.0,information management manager,information management,great,100.0,manager,,,100.0,"(data governance, 33, great)"
426,information management associate,1.0,information management associate,information management,great,100.0,associate,,,100.0,"(data governance, 33, great)"
427,information lifecycle management lead,1.0,information lifecycle management lead,information management,great,95.0,lead,,,95.0,"(data governance, 33, great)"
428,information architect officer,1.0,information architect officer,information architect,great,100.0,officer,,,100.0,"(data governance, 33, great)"
429,,,,,,,,,,,
430,,,,,,,,,,,
431,,,,,,,,,,,
432,ib head of data governance,1.0,investment banking head of data governance,data governance,great,90.0,head of,,,90.0,"(data governance, 33, great)"
433,,,,,,,,,,,
434,hotitem dg consultant,1.0,hotitem data governance consultant,data governance,great,90.0,consultant,,,90.0,"(data governance, 33, great)"
435,,,,,,,,,,,
436,"head of worldwide medical contact, content and insight",1.0,head of worldwide medical contact content and insight,,,,head of,worldwide medical contact content and insight,"(chief medical officer, 86, great)",86.0,"(chief medical officer, 50, great)"
437,"head of strategy and architecture, standards",1.0,head of strategy and architecture standards,architecture,great,90.0,head of,,,90.0,"(data governance, 33, great)"
438,head of solution architecture mi-systems,1.0,head of solution architecture mi systems,architecture,great,90.0,head of,,,90.0,"(data governance, 33, great)"
439,head of pmo,1.0,head of project management office,,,,head of project,management office,"(identity & access management, 86, great)",86.0,"(data management, 80, great)"
440,head of it integration services,1.0,head of it integration services,,,,head of,it integration services,"(data services, 86, great)",86.0,"(data services, 76, great)"
441,head of it infrastructure,1.0,head of it infrastructure,,,,head of,it infrastructure,"(informatics, 58, great)",58.0,"(data architecture, 53, great)"
442,head of information and data governance for commercial banking risk,1.0,head of information and data governance for commercial banking risk,data governance,great,90.0,head of,,,90.0,"(data governance, 33, great)"
443,head of hr data governance and bi,1.0,head of hr data governance and business intelligence,business intelligence,great,90.0,head of,,,90.0,"(data governance, 33, great)"
444,head of hr data governance,1.0,head of hr data governance,data governance,great,95.0,head of,,,95.0,"(data governance, 33, great)"
445,head of governance | data solutions,1.0,head of governance data solutions,,,,head of,governance data solutions,"(data warehouse, 86, great)",86.0,"(data governance, 100, great)"
446,head of forecasts and network intelligence,1.0,head of forecasts and network intelligence,,,,head of,forecasts and network intelligence,"(business intelligence, 86, great)",86.0,"(business intelligence, 73, great)"
447,head of finance design,1.0,head of finance design,,,,head of,finance design,"(finance change management, 86, great)",86.0,"(finance change management, 67, great)"
448,"head of enterprise transformation - regulatory compliance, risk management, accounting and finance",1.0,head of enterprise transformation regulatory compliance risk management accounting and finance,,,,head of,enterprise transformation regulatory compliance risk management accounting and finance,"(identity & access management, 86, great)",86.0,"(finance change management, 84, great)"
449,head of enterprise architecture,1.0,head of enterprise architecture,enterprise architect,great,93.0,head of,,,93.0,"(data governance, 33, great)"
450,head of design & engineering firmwide practices (uk),1.0,head of design engineering firmwide practices uk,,,,head of firmwide,design engineering practices uk,"(informatics, 58, great)",58.0,"(data engineering, 81, common)"
451,"head of data strategy and analytics, financial services",1.0,head of data strategy and analytics financial services,analytics,great,90.0,head of,,,90.0,"(data governance, 33, great)"
452,"head of data services, it â€“ business intelligence",1.0,head of data services it business intelligence,business intelligence,great,90.0,head of,,,90.0,"(data governance, 33, great)"
453,head of data and business insight,1.0,head of data and business insight,,,,head of,data and business insight,"(business intelligence competency center, 86, great)",86.0,"(business analyst, 68, common)"
454,head of data,1.0,head of data,market data vendor management,great,90.0,head of,,,90.0,"(data governance, 33, great)"
455,head of business intelligence & analytics,1.0,head of business intelligence analytics,business intelligence,great,95.0,head of,,,95.0,"(data governance, 33, great)"
456,head of business data architecture,1.0,head of business data architecture,data architect,great,90.0,head of,,,90.0,"(data governance, 33, great)"
457,head of bi systems support unit,1.0,head of business intelligence systems support unit,business intelligence,great,90.0,head of,,,90.0,"(data governance, 33, great)"
458,head of architecture and tools,1.0,head of architecture and tools,architecture,great,90.0,head of,,,90.0,"(data governance, 33, great)"
459,head data management,1.0,head data management,data management,great,100.0,head,,,100.0,"(data governance, 33, great)"
460,"head and architect, enterprise architecture",1.0,head and architect enterprise architecture,enterprise architect,great,90.0,head,,,90.0,"(data governance, 33, great)"
461,hd of data governance/management,1.0,hd of data governance management,data governance,great,90.0,of,,,90.0,"(data governance, 33, great)"
462,,,,,,,,,,,
463,,,,,,,,,,,
464,,,,,,,,,,,
465,global sourcing specialist,1.0,global sourcing specialist,,,,global specialist,sourcing,"(chief nursing officer, 57, great)",57.0,"(risk reporting, 45, great)"
466,global sourcing,1.0,global sourcing,,,,global,sourcing,"(chief nursing officer, 57, great)",57.0,"(risk reporting, 45, great)"
467,global leader - data innovation,1.0,global leader data innovation,,,,global leader,data innovation,"(market data vendor management, 86, great)",86.0,"(big data, 67, great)"
468,global lead - data architecture,1.0,global lead data architecture,data architecture,great,100.0,global lead,,,100.0,"(data governance, 33, great)"
469,global it procurement,1.0,global it procurement,,,,global,it procurement,"(quality improvement, 67, great)",67.0,"(quality improvement, 55, great)"
470,global information architect,1.0,global information architect,information architect,great,100.0,global,,,100.0,"(data governance, 33, great)"
471,global information & business solutions,1.0,global information business solutions,,,,global,information business solutions,"(informatics, 74, great)",74.0,"(business solutions, 100, common)"
472,global head of hr technology,1.0,global head of hr technology,,,,global head of,hr technology,"(data protection officer, 41, great)",41.0,"(information technology, 87, common)"
473,global head of enterprise data governance,1.0,global head of enterprise data governance,data governance,great,90.0,global head of,,,90.0,"(data governance, 33, great)"
474,global finance information architect,1.0,global finance information architect,information architect,great,95.0,global,,,95.0,"(data governance, 33, great)"
475,global data officer,1.0,global data officer,market data vendor management,great,90.0,global officer,,,90.0,"(data governance, 33, great)"
476,global data governance lead,1.0,global data governance lead,data governance,great,100.0,global lead,,,100.0,"(data governance, 33, great)"
477,global commodity manager â€“ it & telecom,1.0,global commodity manager it telecom,,,,global manager,commodity it telecom,"(customer intelligence, 49, great)",49.0,"(customer intelligence, 49, great)"
478,global account executive ing insurance & inv.man.,1.0,global account executive ing insurance inv man,,,,global executive,account ing insurance inv man,"(accounting manager, 65, great)",65.0,"(accounting manager, 60, great)"
479,,,,,,,,,,,
480,fvp - technology group mgr,1.0,fvp technology group manager,,,,manager,fvp technology group,"(group risk manager, 41, great)",41.0,"(information technology, 67, common)"
481,foundational data manager,1.0,foundational data manager,,,,manager,foundational data,"(market data vendor management, 86, great)",86.0,"(big data, 67, great)"
482,former managing director,1.0,former managing director,,,,managing director,former,"(chief medical informatics officer, 60, great)",60.0,"(controller, 50, great)"
483,firmwide chief data officer,1.0,firmwide chief data officer,chief data officer,great,90.0,firmwide officer,,,90.0,"(data governance, 33, great)"
484,financial systems director,1.0,financial systems director,,,,director,financial systems,"(chief financial officer, 66, great)",66.0,"(financial systems, 100, common)"
485,finance director,1.0,finance director,finance change management,great,90.0,director,,,90.0,"(data governance, 33, great)"
486,external contractor | on behalf of amos business transformation,1.0,external contractor on behalf of amos business transformation,,,,of,external contractor on behalf amos business transformation,"(business intelligence process, 86, great)",86.0,"(business analyst, 67, common)"
487,"executive director, service delivery",1.0,executive director service delivery,,,,executive director,service delivery,"(data services, 59, great)",59.0,"(data services, 62, great)"
488,"executive director, operational analytics",1.0,executive director operational analytics,analytics,great,90.0,executive director,,,90.0,"(data governance, 33, great)"
489,"executive director, investment managent",1.0,executive director investment managent,,,,executive director,investment managent,"(customer data management, 65, great)",65.0,"(chief investment officer, 69, common)"
490,"executive director, enterprise information management",1.0,executive director enterprise information management,information management,great,90.0,executive director,,,90.0,"(data governance, 33, great)"
491,"executive director, cst data strategy program director; oversight & controls portfolio manager",1.0,executive director cst data strategy program director oversight controls portfolio manager,,,,executive director director manager,cst data strategy program oversight controls portfolio,"(solvency ii program manager, 86, great)",86.0,"(bcbs program, 74, great)"
492,"executive director, chief data officer",1.0,executive director chief data officer,chief data officer,great,90.0,executive director officer,,,90.0,"(data governance, 33, great)"
493,"executive director, advisory and corporate technology",1.0,executive director advisory and corporate technology,,,,executive director,advisory and corporate technology,"(controller, 45, great)",45.0,"(information technology, 63, common)"
494,executive director	 corporate & investment bank operations,1.0,executive director corporate investment bank operations,,,,executive director,corporate investment bank operations,"(data management, 54, great)",54.0,"(operations analyst, 71, common)"
495,executive director technology & data,1.0,executive director technology data,,,,executive director,technology data,"(market data vendor management, 86, great)",86.0,"(information technology, 80, common)"
496,executive director human resources,1.0,executive director human resources,,,,executive director,human resources,"(data services, 50, great)",50.0,"(data services, 50, great)"
497,executive director and head of r&d operations it,1.0,executive director and head of operations it,,,,executive director head of,and operations it,"(information architect, 58, great)",58.0,"(operations analyst, 80, common)"
498,executive director â–º finance & risk technology â™¦ cloud/mobile solutions â™¦ finance transformation,1.0,executive director finance risk technology cloud mobile solutions finance transformation,,,,executive director,finance risk technology cloud mobile solutions finance transformation,"(finance change management, 86, great)",86.0,"(business solutions, 67, common)"
499,executive director - sr program manager and pmo lead,1.0,executive director senior program manager and project management office lead,,,,executive director senior manager project lead,program and management office,"(data management, 86, great)",86.0,"(data management, 80, great)"
500,executive director - analytics,1.0,executive director analytics,analytics,great,100.0,executive director,,,100.0,"(data governance, 33, great)"
501,executive director - alert,1.0,executive director alert,,,,executive director,alert,"(data quality manager, 60, great)",60.0,"(ccar, 44, great)"
502,executive assistant to ocio/iseo,1.0,executive assistant to ocio iseo,,,,executive assistant,to ocio iseo,"(data protection officer, 51, great)",51.0,"(enterprise solutions, 44, common)"
503,eu field medical operations manager,1.0,eu field medical operations manager,,,,manager,eu field medical operations,"(chief medical officer, 58, great)",58.0,"(operations analyst, 71, common)"
504,,,,,,,,,,,
505,,,,,,,,,,,
506,,,,,,,,,,,
507,,,,,,,,,,,
508,enterprise program manager,1.0,enterprise program manager,,,,manager,enterprise program,"(solvency ii program manager, 86, great)",86.0,"(bcbs program, 74, great)"
