,title,title_count,title_split,levels,title_match,new_title,score
451,bpa collaboration lead,6,bpa collaboration lead,,"(data, 45)",data,45.0
452,avp pmo- data analytics,6,pmo data analytics,assistant vice president,"(data, 90)",data,90.0
453,"assistant vice president, regulatory reporting",6,regulatory reporting,assistant vice president,"(data, 45)",data,45.0
454,assistant to steven flarety,6,steven flarety,assistant,"(data services, 49)",data services,49.0
455,assistant to paul cairns,6,paul cairns,assistant,"(data scientist, 48)",data scientist,48.0
456,assistant d de winne,6,winne,assistant,"(customer intelligence, 54)",customer intelligence,54.0
457,"architecture, head of",6,architecture,head,"(architecture, 100)",architecture,100.0
458,architecture & si division emp,6,architecture division emp,,"(architecture, 90)",architecture,90.0
459,architect/ data scientist applied advanced analytics,6,architect data scientist applied advanced analytics,,"(analytics, 90)",analytics,90.0
460,"architect, strategy",6,architect strategy,,"(data architect, 74)",data architect,74.0
461,architect it dev,6,architect dev,,"(information architect, 86)",information architect,86.0
462,application leader branch architecture,6,application leader branch architecture,,"(architecture, 90)",architecture,90.0
463,application leader,6,application leader,,"(information governance, 50)",information governance,50.0
464,application dev lead,6,application dev lead,,"(information governance, 48)",information governance,48.0
465,"worldwide director , enterprise data management",5,worldwide enterprise data management,director,"(data management, 90)",data management,90.0
466,warehouse systems analyst,5,warehouse systems analyst,,"(data analyst, 86)",data analyst,86.0
467,"vp, investment data management",5,investment data management,vice president,"(data management, 90)",data management,90.0
468,"vp, enterprise master data management, customer & logistics services, j&j supply chai",5,enterprise master data management customer logistics services supply chai,vice president,"(data management, 90)",data management,90.0
469,"vp, enterprise data management and governance",5,enterprise data management governance,vice president,"(data management, 90)",data management,90.0
470,"vp, architecture",5,architecture,vice president,"(architecture, 100)",architecture,100.0
471,vp technology management,5,technology management,vice president,"(data management, 76)",data management,76.0
472,vp software development,5,software development,vice president,"(data steward, 50)",data steward,50.0
473,vp sales and marketing analytics,5,sales marketing analytics,vice president,"(analytics, 90)",analytics,90.0
474,vp of risk,5,risk,vice president,"(enterprise architect, 68)",enterprise architect,68.0
475,vp of compliance,5,compliance,vice president,"(business intelligence competency center, 54)",business intelligence competency center,54.0
476,vp finance technology,5,finance technology,vice president,"(business intelligence competency center, 45)",business intelligence competency center,45.0
477,vp finance,5,finance,vice president,"(data governance, 64)",data governance,64.0
478,vp data product management & engineering,5,data product management engineering,vice president,"(chief data officer, 86)",chief data officer,86.0
479,vp compliance,5,compliance,vice president,"(business intelligence competency center, 54)",business intelligence competency center,54.0
480,vp - lead architect - institutional investment division,5,lead architect institutional investment division,vice president,"(information architect, 86)",information architect,86.0
481,vp - data management,5,data management,vice president,"(data management, 100)",data management,100.0
482,"vice president, technology shared services",5,technology shared services,vice president,"(data services, 86)",data services,86.0
483,"vice president, project management",5,project management,vice president,"(identity & access management, 86)",identity & access management,86.0
484,"vice president, operations",5,operations,vice president,"(information management, 63)",information management,63.0
485,"vice president, gtr",5,gtr,vice president,"(data manager, 60)",data manager,60.0
486,"vice president, enterprise information architecture",5,enterprise information architecture,vice president,"(information architect, 90)",information architect,90.0
487,"vice president, data modeling management",5,data modeling management,vice president,"(data, 90)",data,90.0
488,"vice president, client & vendor advisory services",5,client vendor advisory services,vice president,"(data services, 86)",data services,86.0
489,"vice president, architecture",5,architecture,vice president,"(architecture, 100)",architecture,100.0
490,vice president procurement,5,procurement,vice president,"(customer data management, 46)",customer data management,46.0
491,vice president of web integration and shared enterprise services,5,web integration shared enterprise services,vice president,"(data services, 86)",data services,86.0
492,vice president of market data,5,market data,vice president,"(data, 90)",data,90.0
493,vice president of data engineering,5,data engineering,vice president,"(data, 90)",data,90.0
494,vice president market data history & analytics,5,market data history analytics,vice president,"(data, 90)",data,90.0
495,vice president business intelligence and data warehouse,5,business intelligence data warehouse,vice president,"(business intelligence, 90)",business intelligence,90.0
496,vice president big data analytics and strategy,5,big data analytics strategy,vice president,"(data, 90)",data,90.0
497,vice president / product manager for enterprise it asset management,5,product enterprise asset management,vice president manager,"(data management, 86)",data management,86.0
498,vice president - data product line management,5,data product line management,vice president,"(data, 90)",data,90.0
499,vice president - architecture,5,architecture,vice president,"(architecture, 100)",architecture,100.0
500,v.p. - relationship management,5,relationship management,,"(data management, 86)",data management,86.0
501,us pharmacovigilance officer,5,us pharmacovigilance officer,,"(chief data officer, 86)",chief data officer,86.0
502,technology mgr - j&j corporate im data architecture,5,technology corporate data architecture,manager,"(architecture, 90)",architecture,90.0
503,"technology manager, bi - j&j shared services",5,technology business intelligence shared services,manager,"(business intelligence, 90)",business intelligence,90.0
504,technology lead,5,technology lead,,"(data, 43)",data,43.0
505,"technical manager, pharma application landscape",5,technical pharma application landscape,manager,"(data governance, 48)",data governance,48.0
506,tax director,5,tax,director,"(chief data officer, 60)",chief data officer,60.0
507,systems analysis and design,5,systems analysis design,,"(analytics, 70)",analytics,70.0
508,"svp, customer data technology",5,customer data technology,senior vice president,"(data, 90)",data,90.0
509,svp corporate finance,5,corporate finance,senior vice president,"(information governance, 51)",information governance,51.0
510,svp and data science & analytics practice lead,5,data science analytics practice lead,senior vice president,"(analytics, 90)",analytics,90.0
511,"supervisor, global data management services",5,supervisor global data management services,,"(data management, 90)",data management,90.0
512,staff engineer engineering & commercialization,5,staff engineer engineering commercialization,,"(big data, 54)",big data,54.0
513,sr.manager - data engineering,5,data engineering,senior manager,"(data, 90)",data,90.0
514,sr. vice president - chief financial officer,5,chief financial officer,senior vice president,"(chief data officer, 80)",chief data officer,80.0
515,sr. swe/developer (data management and analyst),5,swe developer data management analyst,senior,"(data management, 90)",data management,90.0
516,sr. project manager,5,project,senior manager,"(data protection officer, 77)",data protection officer,77.0
517,"sr. managr, s/w development",5,managr development,senior,"(data management, 61)",data management,61.0
518,sr. manager/sales operation & analytics,5,sales operation analytics,senior manager,"(analytics, 90)",analytics,90.0
519,"sr. manager, enterprise architecture",5,enterprise architecture,senior manager,"(enterprise architect, 93)",enterprise architect,93.0
520,"sr. manager, advance analytics and data innovations",5,advance analytics data innovations,senior manager,"(analytics, 90)",analytics,90.0
521,sr. it director,5,,senior director,,,0.0
522,sr. executive secretary - domestic operations & data management division,5,secretary domestic operations data management division,senior executive,"(data management, 90)",data management,90.0
523,"sr. director, data strategy and management",5,data strategy management,senior director,"(data, 90)",data,90.0
524,sr. director data governance,5,data governance,senior director,"(data governance, 100)",data governance,100.0
525,sr. analyst	 market data vendor management,5,analyst market data vendor management,senior,"(chief data officer, 86)",chief data officer,86.0
526,sr. analyst,5,analyst,senior,"(data analyst, 90)",data analyst,90.0
527,"sr, data engineer",5,data engineer,senior,"(data, 90)",data,90.0
528,sr manager software engineering,5,software engineering,senior manager,"(data management, 46)",data management,46.0
529,sr it architect,5,architect,senior,"(information architect, 90)",information architect,90.0
530,specialist - data governance,5,specialist data governance,,"(data, 90)",data,90.0
531,software category lead corporate procurement services,5,software category lead corporate procurement services,,"(data services, 86)",data services,86.0
532,si relationship manager,5,relationship,manager,"(information architect, 52)",information architect,52.0
533,shared it services,5,shared services,,"(data services, 72)",data services,72.0
534,"senior vice president, financial architecture and information governance",5,financial architecture information governance,senior vice president,"(information governance, 90)",information governance,90.0
535,senior vice president  domestic operations/data management,5,domestic operations data management,senior vice president,"(data management, 90)",data management,90.0
536,senior vice president,5,,senior vice president,,,0.0
537,senior technical consultant,5,technical consultant,senior,"(data, 45)",data,45.0
538,senior system analyst,5,system analyst,senior,"(data analyst, 70)",data analyst,70.0
539,"senior sourcing manager, cloud and application platform sourcing",5,sourcing cloud application platform sourcing,senior manager,"(data quality, 45)",data quality,45.0
540,senior software engineer,5,software engineer,senior,"(data manager, 48)",data manager,48.0
541,senior quality compliance systems specialist,5,quality compliance systems specialist,senior,"(data quality, 86)",data quality,86.0
542,"senior project manager, it pmo",5,project pmo,senior manager,"(data protection officer, 58)",data protection officer,58.0
543,senior manager-data management operations,5,data management operations,senior manager,"(data management, 90)",data management,90.0
544,"senior manager, quality and data operations",5,quality data operations,senior manager,"(data, 90)",data,90.0
545,"senior manager, investment production",5,investment production,senior manager,"(data protection officer, 48)",data protection officer,48.0
546,"senior manager, data & analytics",5,data analytics,senior manager,"(data, 90)",data,90.0
547,senior manager r&d engineering & commercialization,5,engineering commercialization,senior manager,"(information management, 48)",information management,48.0
548,senior manager data sciences,5,data sciences,senior manager,"(data science, 96)",data science,96.0
549,senior manager - data & information governance,5,data information governance,senior manager,"(information governance, 95)",information governance,95.0
550,senior information security risk analyst,5,information security risk analyst,senior,"(information management, 86)",information management,86.0
551,senior finance director,5,finance,senior director,"(data governance, 64)",data governance,64.0
552,senior engineer,5,engineer,senior,"(customer intelligence, 45)",customer intelligence,45.0
553,senior director operations & client support,5,operations client support,senior director,"(decision support, 86)",decision support,86.0
554,senior director data standards,5,data standards,senior director,"(data standards, 100)",data standards,100.0
555,senior database engineer,5,database engineer,senior,"(data, 90)",data,90.0
556,senior data steward,5,data steward,senior,"(data steward, 100)",data steward,100.0
557,senior data analyst/architect,5,data analyst architect,senior,"(data, 90)",data,90.0
558,"senior analyst, vendor risk management",5,analyst vendor risk management,senior,"(data management, 86)",data management,86.0
559,senior analyst data governance,5,analyst data governance,senior,"(data, 90)",data,90.0
560,senior analyst,5,analyst,senior,"(data analyst, 90)",data analyst,90.0
561,sap mdm program manager,5,sap master data program,manager manager,"(data, 90)",data,90.0
562,sales,5,sales,,"(data analyst, 54)",data analyst,54.0
563,regulatory reporting assistant manager and fund accountant,5,regulatory reporting fund accountant,assistant manager,"(information management, 45)",information management,45.0
564,regional product manager - alert,5,regional product alert,manager,"(data protection officer, 50)",data protection officer,50.0
565,ra,5,ra,,"(data management, 45)",data management,45.0
566,r&d roadmap architect,5,roadmap architect,,"(data architect, 77)",data architect,77.0
567,"quality assurance manager, worldwide software quality compliance",5,quality assurance worldwide software quality compliance,manager,"(data quality, 86)",data quality,86.0
568,project lead informatics,5,project lead informatics,,"(information management, 54)",information management,54.0
569,program management,5,program management,,"(identity & access management, 86)",identity & access management,86.0
570,product manager derivserv,5,product derivserv,manager,"(data protection officer, 48)",data protection officer,48.0
571,principal systems engineer,5,principal systems engineer,,"(data analyst, 45)",data analyst,45.0
572,principal specialist,5,principal specialist,,"(data scientist, 47)",data scientist,47.0
573,principal software engineer/technical lead,5,principal software engineer technical lead,,"(data steward, 52)",data steward,52.0
574,principal software engineer developer,5,principal software engineer developer,,"(data steward, 52)",data steward,52.0
575,principal investment data/project consultant (asset management),5,principal investment data project consultant asset management,,"(chief data officer, 86)",chief data officer,86.0
576,principal data consultant,5,principal data consultant,,"(data, 90)",data,90.0
577,pricing analyst,5,pricing analyst,,"(data analyst, 70)",data analyst,70.0
578,oracle developer,5,oracle developer,,"(data governance, 43)",data governance,43.0
579,operations,5,operations,,"(information management, 63)",information management,63.0
582,master data manager,5,master data,manager,"(data, 90)",data,90.0
583,"managing director, chief executive officer of dtcc data repository us llc",5,chief officer dtcc data repository us llc,managing director executive,"(chief data officer, 86)",chief data officer,86.0
584,"manager, operational support asset servicing",5,operational support asset servicing,manager,"(decision support, 86)",decision support,86.0
585,"manager, na enterprise master data gcu",5,enterprise master data gcu,manager,"(data, 90)",data,90.0
586,manager software engineering,5,software engineering,manager,"(data management, 46)",data management,46.0
587,manager of reference data,5,reference data,manager,"(data, 90)",data,90.0
588,manager master data,5,master data,manager,"(data, 90)",data,90.0
589,manager - hr reporting & analytics,5,hr reporting analytics,manager,"(analytics, 90)",analytics,90.0
590,manager - database administration,5,database administration,manager,"(data, 90)",data,90.0
591,lead solutions architect quantitative sciences it,5,lead solutions architect quantitative sciences,,"(information architect, 86)",information architect,86.0
592,lead oracle dba,5,lead oracle dba,,"(data governance, 57)",data governance,57.0
593,itldp associate analyst- architecture data & analytics,5,itldp analyst architecture data analytics,associate,"(architecture, 90)",architecture,90.0
594,itldp associate analyst - janssen architecture & integration,5,itldp analyst janssen architecture integration,associate,"(architecture, 90)",architecture,90.0
595,itldp,5,itldp,,"(customer intelligence, 54)",customer intelligence,54.0
596,it r&d migration & integration solution architect itldp,5,migration integration solution architect itldp,,"(information architect, 86)",information architect,86.0
597,it procurement specialist,5,procurement specialist,,"(data scientist, 53)",data scientist,53.0
598,"it manager, global data architect",5,global data architect,manager,"(data, 90)",data,90.0
599,"it manager, data management and governance",5,data management governance,manager,"(data management, 90)",data management,90.0
600,"it director, shared enterprise services",5,shared enterprise services,director,"(data services, 86)",data services,86.0
601,"it director, quality and compliance, center of excellence",5,quality compliance center excellence,director,"(data quality, 86)",data quality,86.0
602,it director data management,5,data management,director,"(data management, 100)",data management,100.0
603,it director - data,5,data,director,"(data, 100)",data,100.0
604,it director,5,,director,,,0.0
605,it business systems analyst,5,business systems analyst,,"(data analyst, 86)",data analyst,86.0
606,it analyst - itldp,5,analyst itldp,,"(data analyst, 70)",data analyst,70.0
607,it analyst - it leadership development program,5,analyst leadership development program,,"(data analyst, 86)",data analyst,86.0
608,investment production manager,5,investment production,manager,"(data protection officer, 48)",data protection officer,48.0
609,investment data analyst,5,investment data analyst,,"(data, 90)",data,90.0
610,international outreach,5,international outreach,,"(information governance, 59)",information governance,59.0
611,interim cdo (head global data management),5,interim chief data officer global data management,head,"(chief data officer, 90)",chief data officer,90.0
612,information technology consultant,5,information technology consultant,,"(information management, 86)",information management,86.0
613,information technology analyst,5,information technology analyst,,"(data analyst, 86)",data analyst,86.0
614,info architect,5,info architect,,"(information architect, 86)",information architect,86.0
615,"im lead, data governance",5,lead data governance,,"(data governance, 95)",data governance,95.0
616,global systems specialist - process & systems dept,5,global systems specialist process systems dept,,"(business intelligence process, 86)",business intelligence process,86.0
617,"global manager, application security architecture and strategy  janssen",5,global application security architecture strategy janssen,manager,"(architecture, 90)",architecture,90.0
618,global data manager/information architect,5,global data information architect,manager,"(information architect, 90)",information architect,90.0
619,global bi architect,5,global business intelligence architect,,"(business intelligence, 90)",business intelligence,90.0
620,gerente de contas - divisão lifescan,5,gerente contas divis lifescan,,"(data, 45)",data,45.0
621,"executive director, business development",5,business development,executive director,"(business intelligence competency center, 86)",business intelligence competency center,86.0
622,executive director - alert,5,alert,executive director,"(data manager, 60)",data manager,60.0
623,executive assistant to the president,5,,executive assistant president,,,0.0
624,executive assistant to patrick genyn,5,patrick genyn,executive assistant,"(data governance, 50)",data governance,50.0
625,erm data analyst,5,erm data analyst,,"(data analyst, 95)",data analyst,95.0
626,enterprise solutions consultant,5,enterprise solutions consultant,,"(enterprise architect, 86)",enterprise architect,86.0
627,enterprise information architect,5,enterprise information architect,,"(information architect, 90)",information architect,90.0
628,enterprise data quality governance,5,enterprise data quality governance,,"(data quality, 90)",data quality,90.0
629,enterprise chief technology officer,5,enterprise chief technology officer,,"(chief data officer, 86)",chief data officer,86.0
630,end user support director,5,user support,director,"(decision support, 70)",decision support,70.0
631,drug development info governance lead,5,drug development info governance lead,,"(data governance, 86)",data governance,86.0
632,"director, worldwide quality systems and compliance",5,worldwide quality systems compliance,director,"(data quality, 86)",data quality,86.0
633,"director, vendor data operations",5,vendor data operations,director,"(data, 90)",data,90.0
634,"director, software engineering development",5,software engineering development,director,"(data, 45)",data,45.0
635,"director, sales operations",5,sales operations,director,"(information management, 50)",information management,50.0
636,"director, risk and compliance",5,risk compliance,director,"(business intelligence competency center, 48)",business intelligence competency center,48.0
637,"director, project management, strategic investments products and data",5,project management strategic investments products data,director,"(chief data officer, 86)",chief data officer,86.0
638,"director, product architecture",5,product architecture,director,"(architecture, 90)",architecture,90.0
639,"director, it product management",5,product management,director,"(identity & access management, 86)",identity & access management,86.0
640,"director, global financial systems",5,global financial systems,director,"(data analyst, 52)",data analyst,52.0
641,"director, gds program",5,gds program,director,"(decision support, 44)",decision support,44.0
642,"director, database administration",5,database administration,director,"(data, 90)",data,90.0
643,"director, data management team - customer knowledge & strategic insights",5,data management team customer knowledge strategic insights,director,"(data management, 90)",data management,90.0
644,"director, data governance and feed processing",5,data governance feed processing,director,"(data, 90)",data,90.0
645,"director, customer data strategy",5,customer data strategy,director,"(data, 90)",data,90.0
646,"director, commercial data sciences",5,commercial data sciences,director,"(data, 90)",data,90.0
647,"director, architecture governance",5,architecture governance,director,"(architecture, 90)",architecture,90.0
648,director	security master & pricing projects,5,security master pricing projects,director,"(enterprise architect, 50)",enterprise architect,50.0
649,director	 program management,5,program management,director,"(identity & access management, 86)",identity & access management,86.0
650,director	 client relationship management,5,client relationship management,director,"(data management, 86)",data management,86.0
651,director software engineering/development,5,software engineering development,director,"(data, 45)",data,45.0
652,director software engineering,5,software engineering,director,"(data management, 46)",data management,46.0
653,director regulatory and compliance analysis,5,regulatory compliance analysis,director,"(analytics, 74)",analytics,74.0
654,director of market data,5,market data,director,"(data, 90)",data,90.0
655,director of it corporate technology,5,corporate technology,director,"(data, 45)",data,45.0
656,director of investment data management & support,5,investment data management support,director,"(data management, 90)",data management,90.0
657,director of implementations,5,implementations,director,"(analytics, 50)",analytics,50.0
658,director of development management,5,development management,director,"(data management, 76)",data management,76.0
659,director of data management,5,data management,director,"(data management, 100)",data management,100.0
660,director of data analysis,5,data analysis,director,"(data, 90)",data,90.0
661,director it product management,5,product management,director,"(identity & access management, 86)",identity & access management,86.0
662,director information technology compliance,5,information technology compliance,director,"(information management, 86)",information management,86.0
663,director global data & analytics,5,global data analytics,director,"(data, 90)",data,90.0
664,director facility design and compliance,5,facility design compliance,director,"(business intelligence competency center, 49)",business intelligence competency center,49.0
665,director enterprise client data management,5,enterprise client data management,director,"(data management, 90)",data management,90.0
666,director ddig mdm,5,ddig master data,director manager,"(data, 90)",data,90.0
667,director data modeling/architecture,5,data modeling architecture,director,"(data, 90)",data,90.0
668,director data mgmt informatics,5,data mgmt informatics,director,"(data, 90)",data,90.0
669,director data management and governance,5,data management governance,director,"(data management, 90)",data management,90.0
670,director data management,5,data management,director,"(data management, 100)",data management,100.0
671,director data development,5,data development,director,"(data, 90)",data,90.0
672,director data analysis,5,data analysis,director,"(data, 90)",data,90.0
673,director clinical r&d,5,clinical,director,"(customer intelligence, 45)",customer intelligence,45.0
674,"director architecture and integration, janssen",5,architecture integration janssen,director,"(architecture, 90)",architecture,90.0
675,director analytics,5,analytics,director,"(analytics, 100)",analytics,100.0
676,director - market data inventory management & exchange reporting,5,market data inventory management exchange reporting,director,"(chief data officer, 86)",chief data officer,86.0
677,director - data analysis,5,data analysis,director,"(data, 90)",data,90.0
678,ddig lead,5,ddig lead,,"(data steward, 48)",data steward,48.0
679,dc administration,5,dc administration,,"(chief information officer, 48)",chief information officer,48.0
680,data warehouse systems analyst,5,data warehouse systems analyst,,"(data, 90)",data,90.0
681,data solutions architect,5,data solutions architect,,"(data, 90)",data,90.0
682,data reporting analyst,5,data reporting analyst,,"(data, 90)",data,90.0
683,data analysis & architecture| strategic investments products & data,5,data analysis architecture strategic investments products data,,"(architecture, 90)",architecture,90.0
684,coo,5,chief operating officer,,"(chief information officer, 83)",chief information officer,83.0
685,consultant: senior data architect/modeler & business analyst,5,consultant data architect modeler business analyst,senior,"(data architect, 90)",data architect,90.0
686,compliance system leader,5,compliance system leader,,"(customer intelligence, 44)",customer intelligence,44.0
687,compliance system,5,compliance system,,"(business intelligence competency center, 48)",business intelligence competency center,48.0
688,compliance officer/specialist vice president,5,compliance officer specialist,vice president,"(chief data officer, 86)",chief data officer,86.0
689,compliance - aveksa owner,5,compliance aveksa owner,,"(data science, 50)",data science,50.0
690,compliance,5,compliance,,"(business intelligence competency center, 54)",business intelligence competency center,54.0
691,cloud architect,5,cloud architect,,"(data architect, 76)",data architect,76.0
692,client services vice president,5,client services,vice president,"(data services, 72)",data services,72.0
693,client data management director,5,client data management,director,"(data management, 95)",data management,95.0
694,cio capital markets at fidelity investments - svp trading technologies,5,chief investment officer capital markets fidelity investments trading technologies,senior vice president,"(chief data officer, 86)",chief data officer,86.0
695,chief enterprise architect,5,chief enterprise architect,,"(enterprise architect, 95)",enterprise architect,95.0
696,chief data scientist - consultant,5,chief data scientist consultant,,"(data, 90)",data,90.0
697,business solutions architect,5,business solutions architect,,"(data architect, 86)",data architect,86.0
698,business solution and data integration,5,business solution data integration,,"(chief data officer, 86)",chief data officer,86.0
699,business process solution architect,5,business process solution architect,,"(information architect, 86)",information architect,86.0
700,business implementation manager,5,business implementation,manager,"(business intelligence competency center, 86)",business intelligence competency center,86.0
701,business data strategy owner,5,business data strategy owner,,"(data, 90)",data,90.0
702,business analist,5,business analist,,"(business intelligence process, 86)",business intelligence process,86.0
703,bi & data mgmt mgr.,5,business intelligence data mgmt,manager,"(business intelligence, 95)",business intelligence,95.0
704,"associate scientific director, drug development in",5,scientific drug development,associate director,"(data scientist, 55)",data scientist,55.0
705,associate information scientist,5,information scientist,associate,"(data scientist, 86)",data scientist,86.0
706,associate director investigative brochures,5,investigative brochures,associate director,"(business intelligence process, 54)",business intelligence process,54.0
707,associate analyst,5,analyst,associate,"(data analyst, 90)",data analyst,90.0
708,assistant manager ð data management,5,data management,assistant manager,"(data management, 100)",data management,100.0
709,architect / tech lead,5,architect tech lead,,"(architecture, 75)",architecture,75.0
710,administrative intern,5,intern,administrative,"(customer intelligence, 60)",customer intelligence,60.0
711,wealth and investment management - finance chief data officer,4,wealth investment management finance chief data officer,,"(chief data officer, 90)",chief data officer,90.0
712,"vp, data strategy wealth management",4,data strategy wealth management,vice president,"(data, 90)",data,90.0
713,"vp, data strategy investment management",4,data strategy investment management,vice president,"(chief data officer, 86)",chief data officer,86.0
714,"vp, data goverance",4,data goverance,vice president,"(data governance, 97)",data governance,97.0
715,vp procurement management,4,procurement management,vice president,"(data management, 76)",data management,76.0
716,vp - head reference data,4,reference data,vice president head,"(data, 90)",data,90.0
717,vp - dw (mus ny),4,data warehouse mus ny,vice president,"(data, 90)",data,90.0
718,"vice president, wealth management",4,wealth management,vice president,"(identity & access management, 86)",identity & access management,86.0
719,"vice president, technology",4,technology,vice president,"(data protection officer, 45)",data protection officer,45.0
720,"vice president, human resources",4,human resources,vice president,"(data services, 50)",data services,50.0
721,"vice president, head of data quality office",4,data quality office,vice president head,"(data, 90)",data,90.0
722,"vice president, global capital markets",4,global capital markets,vice president,"(data architect, 51)",data architect,51.0
723,"vice president, data reporting and governance",4,data reporting governance,vice president,"(data, 90)",data,90.0
724,"vice president, data governance",4,data governance,vice president,"(data governance, 100)",data governance,100.0
725,"vice president, basel ii end to end testing",4,basel ii testing,vice president,"(business intelligence, 49)",business intelligence,49.0
726,vice president regulatory reporting,4,regulatory reporting,vice president,"(data, 45)",data,45.0
727,vice president of global markets ecommerce,4,global markets ecommerce,vice president,"(customer data management, 48)",customer data management,48.0
728,vice president of business intelligence and metrics,4,business intelligence metrics,vice president,"(business intelligence, 95)",business intelligence,95.0
729,vice president ð client reference data,4,client reference data,vice president,"(data, 90)",data,90.0
730,technology associate,4,technology,associate,"(data protection officer, 45)",data protection officer,45.0
731,"svp, director of strategy, wealth management",4,strategy wealth management,senior vice president director,"(data management, 86)",data management,86.0
732,"svp, advanced advertising products and data analytics",4,advanced advertising products data analytics,senior vice president,"(analytics, 90)",analytics,90.0
733,svp technology,4,technology,senior vice president,"(data protection officer, 45)",data protection officer,45.0
734,svp supply chain strategy,4,supply chain strategy,senior vice president,"(data, 45)",data,45.0
735,svp - application development,4,application development,senior vice president,"(information management, 53)",information management,53.0
736,sr. manager data governance,4,data governance,senior manager,"(data governance, 100)",data governance,100.0
737,sr. data  architect,4,data architect,senior,"(data architect, 100)",data architect,100.0
738,sr manager dg,4,data governance,senior manager,"(data governance, 100)",data governance,100.0
739,sr data architect,4,data architect,senior,"(data architect, 100)",data architect,100.0
740,"senior vice president, bny mellon asset servicing",4,bny mellon asset servicing,senior vice president,"(data services, 62)",data services,62.0
741,senior vice president of enterprise information technology,4,enterprise information technology,senior vice president,"(information management, 86)",information management,86.0
742,senior vice president business insights,4,business insights,senior vice president,"(business intelligence process, 86)",business intelligence process,86.0
743,senior program manager,4,program,senior manager,"(information management, 39)",information management,39.0
744,se,4,subject expert,,"(data protection officer, 43)",data protection officer,43.0
745,risk data & technology manager,4,risk data technology,manager,"(data, 90)",data,90.0
746,regulatory data governance,4,regulatory data governance,,"(data, 90)",data,90.0
747,purchasing manager,4,purchasing,manager,"(information governance, 45)",information governance,45.0
748,purchasing,4,purchasing,,"(information governance, 45)",information governance,45.0
749,project manager (union bank - contractor),4,project union bank contractor,manager,"(data protection officer, 55)",data protection officer,55.0
750,project manager (mu,4,project,manager,"(data protection officer, 77)",data protection officer,77.0
751,project manager - enterprise solutions identity management (idm),4,project enterprise solutions identity management idm,manager,"(data management, 86)",data management,86.0
752,programme support,4,programme support,,"(decision support, 58)",decision support,58.0
753,operations officer,4,operations officer,,"(chief information officer, 70)",chief information officer,70.0
754,no longer wtih cablevision,4,longer wtih cablevision,,"(decision support, 48)",decision support,48.0
757,marketing analytics leader,4,marketing analytics leader,,"(analytics, 90)",analytics,90.0
758,"managing director, risk & compliance",4,risk compliance,managing director,"(business intelligence competency center, 48)",business intelligence competency center,48.0
759,"managing director, ecommerce enterprise services",4,ecommerce enterprise services,managing director,"(data services, 86)",data services,86.0
760,"managing director, bny mellon  data management and architecture   client technology solutions",4,bny mellon data management architecture client technology solutions,managing director,"(data management, 90)",data management,90.0
761,managing director	 advanced engineering group,4,advanced engineering group,managing director,"(data, 45)",data,45.0
762,managing director enterprise architecture,4,enterprise architecture,managing director,"(enterprise architect, 93)",enterprise architect,93.0
763,managing director compliance,4,compliance,managing director,"(business intelligence competency center, 54)",business intelligence competency center,54.0
764,"manager, business process review",4,business process review,manager,"(business intelligence competency center, 86)",business intelligence competency center,86.0
765,manager enterprise architecture and it governance,4,enterprise architecture governance,manager,"(architecture, 90)",architecture,90.0
766,manager - data architecture & integration,4,data architecture integration,manager,"(data, 90)",data,90.0
767,manager - application development,4,application development,manager,"(information management, 53)",information management,53.0
768,legal and compliance,4,legal compliance,,"(business intelligence competency center, 50)",business intelligence competency center,50.0
769,lead financial officer,4,lead financial officer,,"(chief data officer, 60)",chief data officer,60.0
770,it compliance manager,4,compliance,manager,"(business intelligence competency center, 54)",business intelligence competency center,54.0
771,informatiebeheerder,4,informatiebeheerder,,"(information governance, 59)",information governance,59.0
772,head of the pmo,4,pmo,head,"(data protection officer, 60)",data protection officer,60.0
773,head of hr data governance and bi,4,hr data governance business intelligence,head,"(data governance, 90)",data governance,90.0
774,head of hr data governance,4,hr data governance,head,"(data governance, 95)",data governance,95.0
775,head of data governance,4,data governance,head,"(data governance, 100)",data governance,100.0
776,head of client services,4,client services,head,"(data services, 72)",data services,72.0
777,"head and architect, enterprise architecture",4,architect enterprise architecture,head,"(architecture, 90)",architecture,90.0
778,global manager,4,global,manager,"(information management, 30)",information management,30.0
779,global head of technology and data risk governance,4,global technology data risk governance,head,"(chief data officer, 86)",chief data officer,86.0
780,global head of hr technology,4,global hr technology,head,"(architecture, 38)",architecture,38.0
781,global head of fixed income & commodities etrading technology,4,global fixed income commodities etrading technology,head,"(data governance, 45)",data governance,45.0
782,global head of client ref data,4,global client ref data,head,"(data, 90)",data,90.0
783,global data architecture,4,global data architecture,,"(data architecture, 95)",data architecture,95.0
784,"first vice president, information technology enterprise architecture",4,first information technology enterprise architecture,vice president,"(architecture, 90)",architecture,90.0
785,"executive director, technology & data",4,technology data,executive director,"(data, 90)",data,90.0
786,"executive director, service delivery",4,service delivery,executive director,"(data services, 59)",data services,59.0
787,"executive director, risk and market data technology",4,risk market data technology,executive director,"(data, 90)",data,90.0
788,"executive director, it databases",4,databases,executive director,"(data, 90)",data,90.0
789,"executive director, investment managent",4,investment managent,executive director,"(customer data management, 65)",customer data management,65.0
790,"executive director, international head of management information and data management group",4,international management information data management group,executive director head,"(data management, 90)",data management,90.0
