,title,title_count,title_split,temp,type,title_level,new_title,leftover,fuzz_results,fuzz_score,fuzz_title,fuzz_type
203,"svp, chief data officer",1,senior vice president chief data officer,"(chief data officer, [great], [None])",great,senior vice president,chief data officer,,,,,
204,"svp, (it sponsor)",1,senior vice president it sponsor,"(it sponsor, [level], [it sponsor])",level,senior vice president,,it sponsor,"(descision support, 52, great)",52.0,descision support,great
205,svp of corporate services,1,senior vice president of corporate services,"(corporate services, [level], [corporate services])",level,senior vice president of,,corporate services,"(data services, 71, great)",71.0,data services,great
206,svp delivery and customer success,1,senior vice president delivery and customer success,"(delivery customer success, [level], [delivery customer success])",level,senior vice president,,delivery customer success,"(customer intelligence, 65, great)",65.0,customer intelligence,great
207,svp data management and bi,1,senior vice president data management and business intelligence,"(data management business intelligence, [level], [data management business intelligence])",level,senior vice president,,data management business intelligence,"(business intelligence, 72, great)",72.0,business intelligence,great
208,svp chief op rick officer,1,senior vice president chief op rick officer,"(chief op rick officer, [level], [chief op rick officer])",level,senior vice president,,chief op rick officer,"(chief risk officer, 87, common)",87.0,chief risk officer,common
209,svp chief consumer credit risk officer,1,senior vice president chief consumer credit risk officer,"(chief consumer credit risk officer, [level], [chief consumer credit risk officer])",level,senior vice president,,chief consumer credit risk officer,"(chief risk officer, 69, common)",69.0,chief risk officer,common
210,svp analytics,1,senior vice president analytics,"(data services, [great], [None])",great,senior vice president,data services,,,,,
211,svp - business intelligence (functions as cdo),1,senior vice president business intelligence functions as chief data officer,"(business intelligence functions as chief data officer, [level], [business intelligence functions as chief data officer])",level,senior vice president,,business intelligence functions as chief data officer,"(business intelligence competency center, 63, great)",63.0,business intelligence competency center,great
212,supply chain intelligence,1,supply chain intelligence,"(supply chain intelligence, [to_fix], [supply chain intelligence])",to_fix,,,supply chain intelligence,"(business intelligence, 65, great)",65.0,business intelligence,great
213,supplier oversight analyst - vendor management,1,supplier oversight analyst vendor management,"(supplier oversight analyst vendor management, [to_fix], [supplier oversight analyst vendor management])",to_fix,,,supplier oversight analyst vendor management,"(market data vendor management, 63, great)",63.0,market data vendor management,great
214,supervisor static data data management,1,supervisor static data data management,"(supervisor static data data management, [to_fix], [supervisor static data data management])",to_fix,,,supervisor static data data management,"(market data vendor management, 66, great)",66.0,market data vendor management,great
215,strategist,1,strategist,"(strategist, [to_fix], [strategist])",to_fix,,,strategist,"(data scientist, 50, great)",50.0,data scientist,great
216,strategic sourcing consultant supply chain management,1,strategic sourcing consultant supply chain management,"(strategic sourcing supply chain management, [level], [strategic sourcing supply chain management])",level,consultant,,strategic sourcing supply chain management,"(risk change management, 59, great)",59.0,risk change management,great
217,strategic communications specialist,1,strategic communications specialist,"(strategic communications, [level], [strategic communications])",level,specialist,,strategic communications,"(clinical informatics, 55, great)",55.0,clinical informatics,great
218,staff director,1,staff director,"(staff, [level], [staff])",level,director,,staff,"(chief data officer, 35, great)",35.0,chief data officer,great
219,sr. systems analyst,1,senior systems analyst,"(systems analyst, [level], [systems analyst])",level,senior,systems analyst,,,,,
220,sr. risk officer - international finance corporation,1,senior risk officer international finance corporation,"(risk officer international finance corporation, [level], [risk officer international finance corporation])",level,senior,,risk officer international finance corporation,"(chief financial officer, 58, great)",58.0,chief financial officer,great
221,sr. project lead,1,senior project lead,"(, [level], [])",level,senior project lead,,,,,,
222,sr. portfolio manager - eim - it - business planning & management,1,senior portfolio manager enterprise information management it business planning management,"(portfolio enterprise information management it business planning management, [level], [portfolio enterprise information management it business planning management])",level,senior manager,,portfolio enterprise information management it business planning management,"(enterprise information management, 61, common)",61.0,enterprise information management,common
223,sr. manager software engineering and product management,1,senior manager software engineering and product management,"(software engineering product management, [level], [software engineering product management])",level,senior manager,,software engineering product management,"(software engineer, 61, common)",61.0,software engineer,common
224,sr. manager it data strategy,1,senior manager it data strategy,"(it data strategy, [level], [it data strategy])",level,senior manager,,it data strategy,"(sales data, 62, great)",62.0,sales data,great
225,sr. manager data governance,1,senior manager data governance,"(master data governance, [great], [None])",great,senior manager,master data governance,,,,,
226,sr. manager - data analytics,1,senior manager data analytics,"(data analytics, [level], [data analytics])",level,senior manager,,data analytics,"(data analysis, 89, common)",89.0,data analysis,common
227,sr. manager â€“ data analysis,1,senior manager data analysis,"(data analysis, [level], [data analysis])",level,senior manager,data analysis,,,,,
228,sr. manager,1,senior manager,"(, [level], [])",level,senior manager,,,,,,
229,sr. information architect - global architecture,1,senior information architect global architecture,"(information architect architecture, [level], [information architect architecture])",level,senior global,,information architect architecture,"(information architect, 76, great)",76.0,information architect,great
230,sr. enterprise architect,1,senior enterprise architect,"(enterprise architect, [great], [None])",great,senior,enterprise architect,,,,,
231,"sr. director, data management and reporting",1,senior director data management and reporting,"(data management reporting, [level], [data management reporting])",level,senior director,,data management reporting,"(data management, 75, great)",75.0,data management,great
232,sr. director of compliance north america,1,senior director of compliance north america,"(compliance north america, [level], [compliance north america])",level,senior director of,,compliance north america,"(chief compliance officer, 63, common)",63.0,chief compliance officer,common
233,sr. director,1,senior director,"(, [level], [])",level,senior director,,,,,,
234,sr. direcror - application development,1,senior direcror application development,"(direcror application development, [level], [direcror application development])",level,senior,,direcror application development,"(application development, 84, common)",84.0,application development,common
235,sr. dir of  customer service and business process optimization,1,senior director of customer service and business process optimization,"(customer service business process optimization, [level], [customer service business process optimization])",level,senior director of,,customer service business process optimization,"(business intelligence competency center, 56, great)",56.0,business intelligence competency center,great
236,sr. data governance analyst,1,senior data governance analyst,"(data governance analyst, [level], [data governance analyst])",level,senior,,data governance analyst,"(data governance, 79, great)",79.0,data governance,great
237,sr. data analyst and architect,1,senior data analyst and architect,"(data analyst architect, [level], [data analyst architect])",level,senior,,data analyst architect,"(data architect, 78, great)",78.0,data architect,great
238,sr. data analysis manager,1,senior data analysis manager,"(data analysis, [level], [data analysis])",level,senior manager,data analysis,,,,,
239,sr. consultant â€“ finance | data governance program office,1,senior consultant finance data governance program office,"(finance data governance program office, [level], [finance data governance program office])",level,senior consultant,,finance data governance program office,"(master data governance, 60, great)",60.0,master data governance,great
240,sr. business & data analyst - dg lead,1,senior business data analyst data governance lead,"(business data analyst data governance, [level], [business data analyst data governance])",level,senior lead,,business data analyst data governance,"(business analyst, 60, common)",60.0,business analyst,common
241,"sr. architect, business intelligence",1,senior architect business intelligence,"(architect business intelligence, [level], [architect business intelligence])",level,senior,,architect business intelligence,"(business intelligence, 81, great)",81.0,business intelligence,great
242,sr technical procurement,1,senior technical procurement,"(technical procurement, [level], [technical procurement])",level,senior,,technical procurement,"(quality improvement, 55, great)",55.0,quality improvement,great
243,sr technical manager,1,senior technical manager,"(technical, [level], [technical])",level,senior manager,,technical,"(clinical quality, 48, great)",48.0,clinical quality,great
244,sr pm edm & data governance,1,senior project manager edm data governance,"(edm data governance, [level], [edm data governance])",level,senior project manager,,edm data governance,"(data governance, 88, great)",88.0,data governance,great
245,"sr mgr, business intelligence",1,senior manager business intelligence,"(business intelligence process, [great], [None])",great,senior manager,business intelligence process,,,,,
246,sr mgr of data management,1,senior manager of data management,"(market data vendor management, [great], [None])",great,senior manager of,market data vendor management,,,,,
247,"sr manager, tech integrations it",1,senior manager tech integrations it,"(tech integrations it, [level], [tech integrations it])",level,senior manager,,tech integrations it,"(information technology, 62, common)",62.0,information technology,common
248,"sr manager, bi it",1,senior manager business intelligence it,"(business intelligence it, [level], [business intelligence it])",great,senior manager,business intelligence,,,93.0,business intelligence,great
249,sr manager - bi / enterprise reporting & analytics,1,senior manager business intelligence enterprise reporting analytics,"(business intelligence enterprise reporting analytics, [level], [business intelligence enterprise reporting analytics])",level,senior manager,,business intelligence enterprise reporting analytics,"(business intelligence competency center, 64, great)",64.0,business intelligence competency center,great
250,sr director of infrastructure & operations,1,senior director of infrastructure operations,"(infrastructure operations, [level], [infrastructure operations])",level,senior director of,,infrastructure operations,"(operations analyst, 70, common)",70.0,operations analyst,common
251,sr director,1,senior director,"(, [level], [])",level,senior director,,,,,,
252,sr data warehouse analyst,1,senior data warehouse analyst,"(data warehouse analyst, [level], [data warehouse analyst])",level,senior,,data warehouse analyst,"(database analyst, 79, common)",79.0,database analyst,common
253,sr audit compliance engineer,1,senior audit compliance engineer,"(audit compliance engineer, [level], [audit compliance engineer])",level,senior,,audit compliance engineer,"(chief compliance officer, 65, common)",65.0,chief compliance officer,common
254,"sr associate,  lead of era",1,senior associate lead of era,"(era, [level], [era])",level,senior associate lead of,,era,"(data governance, 33, great)",33.0,data governance,great
255,"specialist, systems & process management",1,specialist systems process management,"(systems process management, [level], [systems process management])",level,specialist,,systems process management,"(systems engineer, 62, common)",62.0,systems engineer,common
256,sourcing specialist,1,sourcing specialist,"(sourcing, [level], [sourcing])",level,specialist,,sourcing,"(risk reporting, 45, great)",45.0,risk reporting,great
257,"sourcing category manager, software",1,sourcing category manager software,"(sourcing category software, [level], [sourcing category software])",level,manager,,sourcing category software,"(regulatory reporting, 57, common)",57.0,regulatory reporting,common
258,sourcing and contract specialist,1,sourcing and contract specialist,"(sourcing contract, [level], [sourcing contract])",level,specialist,,sourcing contract,"(solutions architect, 56, common)",56.0,solutions architect,common
259,sourcing & procurement services,1,sourcing procurement services,"(sourcing procurement services, [to_fix], [sourcing procurement services])",to_fix,,,sourcing procurement services,"(enterprise solutions, 53, common)",53.0,enterprise solutions,common
260,"sourcing - associate director, information management & technology - global procurement",1,sourcing associate director information management technology global procurement,"(sourcing information management technology procurement, [level], [sourcing information management technology procurement])",level,associate director global,,sourcing information management technology procurement,"(information management, 58, great)",58.0,information management,great
261,solution architect / solution architecture / is division,1,solution architect solution architecture is division,"(solution architect solution architecture is division, [to_fix], [solution architect solution architecture is division])",to_fix,,,solution architect solution architecture is division,"(solutions architect, 54, common)",54.0,solutions architect,common
262,software contract negotiator,1,software contract negotiator,"(software contract negotiator, [to_fix], [software contract negotiator])",to_fix,,,software contract negotiator,"(software engineer, 58, common)",58.0,software engineer,common
263,snr. manager master data management - financial systems - verizon corporate,1,snr manager master data management financial systems verizon corporate,"(master data management financial systems verizon corporate, [level], [master data management financial systems verizon corporate])",level,snr manager,,master data management financial systems verizon corporate,"(market data vendor management, 55, great)",55.0,market data vendor management,great
264,senior vice president chief information officer,1,senior vice president chief information officer,"(chief information officer, [great], [None])",great,senior vice president,chief information officer,,,,,
265,senior systems analyst (sponsored data expert),1,senior systems analyst sponsored data expert,"(systems analyst sponsored data expert, [level], [systems analyst sponsored data expert])",level,senior,,systems analyst sponsored data expert,"(systems analyst, 58, common)",58.0,systems analyst,common
266,"senior sourcing manager, cloud and application platform sourcing",1,senior sourcing manager cloud and application platform sourcing,"(sourcing cloud application platform sourcing, [level], [sourcing cloud application platform sourcing])",level,senior manager,,sourcing cloud application platform sourcing,"(clinical applications, 52, great)",52.0,clinical applications,great
267,senior software engineer,1,senior software engineer,"(software engineer, [level], [software engineer])",level,senior,software engineer,,,,,
268,"senior project manager, project management office",1,senior project manager project management office,"(management office, [level], [management office])",level,senior project manager project,,management office,"(data management, 63, great)",63.0,data management,great
269,"senior project manager, it pmo",1,senior project manager it project management office,"(it management office, [level], [it management office])",level,senior project manager project,,it management office,"(data management, 69, great)",69.0,data management,great
270,"senior project manager â€“ reference data, quality and governance",1,senior project manager reference data quality and governance,"(reference data quality governance, [level], [reference data quality governance])",level,senior project manager,,reference data quality governance,"(master data governance, 73, great)",73.0,master data governance,great
271,senior program manager,1,senior program manager,"(program, [level], [program])",level,senior manager,,program,"(bcbs program, 74, great)",74.0,bcbs program,great
272,senior procurement analyst global sourcing strategies,1,senior procurement analyst global sourcing strategies,"(procurement analyst sourcing strategies, [level], [procurement analyst sourcing strategies])",level,senior global,,procurement analyst sourcing strategies,"(operations analyst, 53, common)",53.0,operations analyst,common
273,senior partner,1,senior partner,"(partner, [level], [partner])",level,senior,,partner,"(data manager, 53, great)",53.0,data manager,great
274,"senior manager, enterprise model risk, analytics, and data",1,senior manager enterprise model risk analytics and data,"(enterprise model risk analytics data, [level], [enterprise model risk analytics data])",level,senior manager,,enterprise model risk analytics data,"(enterprise architect, 54, great)",54.0,enterprise architect,great
275,"senior manager, data management",1,senior manager data management,"(market data vendor management, [great], [None])",great,senior manager,market data vendor management,,,,,
276,"senior manager, corporate purchasing",1,senior manager corporate purchasing,"(corporate purchasing, [level], [corporate purchasing])",level,senior manager,,corporate purchasing,"(risk reporting, 47, great)",47.0,risk reporting,great
277,senior manager sourcing,1,senior manager sourcing,"(sourcing, [level], [sourcing])",level,senior manager,,sourcing,"(risk reporting, 45, great)",45.0,risk reporting,great
278,senior manager finance systems,1,senior manager finance systems,"(finance systems, [level], [finance systems])",level,senior manager,,finance systems,"(financial systems, 88, common)",88.0,financial systems,common
279,senior manager data management department,1,senior manager data management department,"(data management department, [level], [data management department])",level,senior manager,,data management department,"(data management, 73, great)",73.0,data management,great
280,senior manager - isd-isd eim data quality & governance,1,senior manager isd isd enterprise information management data quality governance,"(isd isd enterprise information management data quality governance, [level], [isd isd enterprise information management data quality governance])",level,senior manager,,isd isd enterprise information management data quality governance,"(enterprise information management, 67, common)",67.0,enterprise information management,common
281,senior manager - enterprise architecture,1,senior manager enterprise architecture,"(enterprise architecture, [level], [enterprise architecture])",great,senior manager,enterprise architect,,,93.0,enterprise architect,great
282,senior it manager enterprise data management,1,senior it manager enterprise data management,"(it enterprise data management, [level], [it enterprise data management])",level,senior manager,,it enterprise data management,"(enterprise information management, 77, common)",77.0,enterprise information management,common
283,senior it manager,1,senior it manager,"(it, [level], [it])",level,senior manager,,it,"(big data, 40, great)",40.0,big data,great
284,senior enterprise architect,1,senior enterprise architect,"(enterprise architect, [great], [None])",great,senior,enterprise architect,,,,,
285,"senior director, search & data management strategy",1,senior director search data management strategy,"(search data management strategy, [level], [search data management strategy])",level,senior director,,search data management strategy,"(market data vendor management, 67, great)",67.0,market data vendor management,great
286,senior director enterprise information architecture,1,senior director enterprise information architecture,"(enterprise information architecture, [level], [enterprise information architecture])",level,senior director,,enterprise information architecture,"(information architect, 75, great)",75.0,information architect,great
287,senior director data strategy and stewardship,1,senior director data strategy and stewardship,"(data strategy stewardship, [level], [data strategy stewardship])",level,senior director,,data strategy stewardship,"(data stewardship, 78, great)",78.0,data stewardship,great
288,senior director,1,senior director,"(, [level], [])",level,senior director,,,,,,
289,senior data management analyst & associate managing director,1,senior data management analyst associate managing director,"(data management analyst, [level], [data management analyst])",level,senior associate managing director,,data management analyst,"(data management, 79, great)",79.0,data management,great
290,"senior data architect, at a prominent federal agency's enterprise data management office, part of citizant",1,senior data architect at prominent federal agency enterprise data management office part of citizant,"(data architect at prominent federal agency enterprise data management office part citizant, [level], [data architect at prominent federal agency enterprise data management office part citizant])",level,senior of,,data architect at prominent federal agency enterprise data management office part citizant,"(enterprise information management, 41, common)",41.0,enterprise information management,common
291,senior data architect,1,senior data architect,"(data architect, [great], [None])",great,senior,data architect,,,,,
292,senior consultant - sourcing  | verizon services ireland ltd,1,senior consultant sourcing verizon services ireland ltd,"(sourcing verizon services ireland ltd, [level], [sourcing verizon services ireland ltd])",level,senior consultant,,sourcing verizon services ireland ltd,"(enterprise solutions, 49, common)",49.0,enterprise solutions,common
293,senior business architect,1,senior business architect,"(business architect, [level], [business architect])",level,senior,,business architect,"(solutions architect, 76, common)",76.0,solutions architect,common
294,senior business analyst,1,senior business analyst,"(business analyst, [level], [business analyst])",level,senior,business analyst,,,,,
295,"senior analyst, vendor risk management",1,senior analyst vendor risk management,"(analyst vendor risk management, [level], [analyst vendor risk management])",level,senior,,analyst vendor risk management,"(market data vendor management, 78, great)",78.0,market data vendor management,great
296,senior analyst,1,senior analyst,"(analyst, [level], [analyst])",level,senior,,analyst,"(analytics, 75, great)",75.0,analytics,great
297,sales,1,sales,"(sales, [to_fix], [sales])",to_fix,,,sales,"(sales data, 67, great)",67.0,sales data,great
298,"responsable domaine etudes, reporting &amp; qualitã© des donnã©es",1,responsable domaine etudes reporting amp qualit des donn es,"(responsable domaine etudes reporting amp qualit des donn es, [to_fix], [responsable domaine etudes reporting amp qualit des donn es])",to_fix,,,responsable domaine etudes reporting amp qualit des donn es,"(business intelligence competency center, 41, great)",41.0,business intelligence competency center,great
299,reporting manager,1,reporting manager,"(reporting, [level], [reporting])",level,manager,,reporting,"(risk reporting, 78, great)",78.0,risk reporting,great
300,reporting and data warehouse manager,1,reporting and data warehouse manager,"(reporting data warehouse, [level], [reporting data warehouse])",level,manager,,reporting data warehouse,"(data warehouse, 74, great)",74.0,data warehouse,great
301,reporting & clinical analytics,1,reporting clinical analytics,"(reporting clinical analytics, [to_fix], [reporting clinical analytics])",to_fix,,,reporting clinical analytics,"(clinical applications, 57, great)",57.0,clinical applications,great
302,"regional data manager (americas), chief data office",1,regional data manager americas chief data office,"(regional data americas chief data office, [level], [regional data americas chief data office])",level,manager,,regional data americas chief data office,"(chief data officer, 62, great)",62.0,chief data officer,great
303,regional data management officer hong kong,1,regional data management officer hong kong,"(regional data management officer hong kong, [to_fix], [regional data management officer hong kong])",to_fix,,,regional data management officer hong kong,"(market data vendor management, 56, great)",56.0,market data vendor management,great
304,purchasing specialist,1,purchasing specialist,"(purchasing, [level], [purchasing])",level,specialist,,purchasing,"(risk reporting, 42, great)",42.0,risk reporting,great
305,project specialist,1,project specialist,"(, [level], [])",level,project specialist,,,,,,
306,"project manager, project management office",1,project manager project management office,"(management office, [level], [management office])",level,project manager project,,management office,"(data management, 63, great)",63.0,data management,great
307,"project manager, pmo it",1,project manager project management office it,"(management office it, [level], [management office it])",level,project manager project,,management office it,"(data management, 69, great)",69.0,data management,great
308,"project manager, epmo",1,project manager epmo,"(epmo, [level], [epmo])",level,project manager,,epmo,"(risk reporting, 33, great)",33.0,risk reporting,great
309,"project manager, dq",1,project manager dq,"(dq, [level], [dq])",level,project manager,,dq,"(data quality, 29, great)",29.0,data quality,great
310,project manager for the data lake project,1,project manager for the data lake project,"(data lake, [level], [data lake])",level,project manager project,,data lake,"(sales data, 74, great)",74.0,sales data,great
311,project manager / programme management group / is & pmg division,1,project manager programme management group is pmg division,"(programme management group is pmg division, [level], [programme management group is pmg division])",level,project manager,,programme management group is pmg division,"(dfast program manager, 54, great)",54.0,dfast program manager,great
312,project manager (external worker),1,project manager external worker,"(external worker, [level], [external worker])",level,project manager,,external worker,"(developer, 50, common)",50.0,developer,common
313,project manager - data governance / data security programme,1,project manager data governance data security programme,"(data governance data security programme, [level], [data governance data security programme])",level,project manager,,data governance data security programme,"(master data governance, 66, great)",66.0,master data governance,great
314,project coordinator group programme management,1,project coordinator group programme management,"(coordinator group programme management, [level], [coordinator group programme management])",level,project,,coordinator group programme management,"(ccar program manager, 62, great)",62.0,ccar program manager,great
315,project coordinator,1,project coordinator,"(coordinator, [level], [coordinator])",level,project,,coordinator,"(controller, 57, great)",57.0,controller,great
316,programme manager,1,programme manager,"(programme, [level], [programme])",level,manager,,programme,"(bcbs program, 67, great)",67.0,bcbs program,great
317,"programme director, it / special projects",1,programme director it special project,"(programme it special, [level], [programme it special])",level,director project,,programme it special,"(solvency ii program manager, 55, great)",55.0,solvency ii program manager,great
318,program manger - eim,1,program manager enterprise information management,"(program enterprise information management, [level], [program enterprise information management])",level,manager,,program enterprise information management,"(enterprise information management, 89, common)",89.0,enterprise information management,common
319,"program manager, eim data quality & data governance",1,program manager enterprise information management data quality data governance,"(program enterprise information management data quality data governance, [level], [program enterprise information management data quality data governance])",level,manager,,program enterprise information management data quality data governance,"(enterprise information management, 64, common)",64.0,enterprise information management,common
320,procurement officer,1,procurement officer,"(procurement officer, [to_fix], [procurement officer])",to_fix,,,procurement officer,"(data protection officer, 62, great)",62.0,data protection officer,great
321,procurement manager,1,procurement manager,"(procurement, [level], [procurement])",level,manager,,procurement,"(quality improvement, 53, great)",53.0,quality improvement,great
322,procurement lead,1,procurement lead,"(procurement, [level], [procurement])",level,lead,,procurement,"(quality improvement, 53, great)",53.0,quality improvement,great
323,procurememnt,1,procurememnt,"(procurememnt, [to_fix], [procurememnt])",to_fix,,,procurememnt,"(quality improvement, 52, great)",52.0,quality improvement,great
324,principal information management system,1,principal information management system,"(information management system, [level], [information management system])",level,principal,,information management system,"(information management, 86, great)",86.0,information management,great
325,principal for etl,1,principal for etl,"(etl, [level], [etl])",level,principal,,etl,"(architect, 33, great)",33.0,architect,great
326,principal consultant,1,principal consultant,"(, [level], [])",level,principal consultant,,,,,,
327,principal,1,principal,"(, [level], [])",level,principal,,,,,,
328,presales mgr,1,presales manager,"(presales, [level], [presales])",level,manager,,presales,"(sales data, 56, great)",56.0,sales data,great
329,practice manager - dw & analytics,1,practice manager data warehouse analytics,"(practice data warehouse analytics, [level], [practice data warehouse analytics])",level,manager,,practice data warehouse analytics,"(data warehouse, 60, great)",60.0,data warehouse,great
330,"portolio director, edge services",1,portolio director edge services,"(portolio edge services, [level], [portolio edge services])",level,director,,portolio edge services,"(data services, 63, great)",63.0,data services,great
331,pm - master data,1,project manager master data,"(master data, [level], [master data])",level,project manager,,master data,"(data steward, 78, great)",78.0,data steward,great
332,pm,1,project manager,"(, [level], [])",level,project manager,,,,,,
333,paypal procuremen,1,paypal procuremen,"(paypal procuremen, [to_fix], [paypal procuremen])",to_fix,,,paypal procuremen,"(operations analyst, 46, common)",46.0,operations analyst,common
334,"partner, advisory",1,partner advisory,"(partner advisory, [to_fix], [partner advisory])",to_fix,,,partner advisory,"(database administrator, 53, common)",53.0,database administrator,common
335,partner,1,partner,"(partner, [to_fix], [partner])",to_fix,,,partner,"(data manager, 53, great)",53.0,data manager,great
336,operations officer,1,operations officer,"(operations officer, [to_fix], [operations officer])",to_fix,,,operations officer,"(chief operating officer, 78, common)",78.0,chief operating officer,common
337,operations manager,1,operations manager,"(operations, [level], [operations])",level,manager,,operations,"(operations analyst, 71, common)",71.0,operations analyst,common
338,"office of the chief information officer, enterrpise architect",1,office of the chief information officer enterrpise architect,"(office chief information officer enterrpise architect, [level], [office chief information officer enterrpise architect])",level,of,,office chief information officer enterrpise architect,"(chief information officer, 64, great)",64.0,chief information officer,great
339,office of biometric identity management (obim) system business operations (sbo,1,office of biometric identity management obim system business operations sbo,"(office biometric identity management obim system business operations sbo, [level], [office biometric identity management obim system business operations sbo])",level,of,,office biometric identity management obim system business operations sbo,"(identity & access management, 49, great)",49.0,identity & access management,great
340,o&t campus associate,1,campus associate,"(campus, [level], [campus])",level,associate,,campus,"(ccar, 40, great)",40.0,ccar,great
341,no longer wtih cablevision,1,no longer wtih cablevision,"(no longer wtih cablevision, [to_fix], [no longer wtih cablevision])",to_fix,,,no longer wtih cablevision,"(application development, 49, common)",49.0,application development,common
346,national bi practice manager,1,national business intelligence practice manager,"(national business intelligence practice, [level], [national business intelligence practice])",level,manager,,national business intelligence practice,"(business intelligence process, 76, great)",76.0,business intelligence process,great
347,"mgr, eim",1,manager enterprise information management,"(enterprise information management, [level], [enterprise information management])",level,manager,enterprise information management,,,,,
348,metadata svcs mrg,1,metadata services mrg,"(metadata services mrg, [to_fix], [metadata services mrg])",to_fix,,,metadata services mrg,"(data services, 76, great)",76.0,data services,great
349,metadata architect,1,metadata architect,"(metadata architect, [to_fix], [metadata architect])",to_fix,,,metadata architect,"(data architect, 88, great)",88.0,data architect,great
350,mdr,1,mdr,"(mdr, [to_fix], [mdr])",to_fix,,,mdr,"(developer, 33, common)",33.0,developer,common
351,mdm tooling,1,master data manager tooling,"(master data tooling, [level], [master data tooling])",level,manager,,master data tooling,"(data quality manager, 62, great)",62.0,data quality manager,great
352,"md strategy and operational risk, credit suisse",1,md strategy and operational risk credit suisse,"(md strategy and operational risk credit suisse, [to_fix], [md strategy and operational risk credit suisse])",to_fix,,,md strategy and operational risk credit suisse,"(operations analyst, 44, common)",44.0,operations analyst,common
353,master data owner,1,master data owner,"(master data owner, [to_fix], [master data owner])",to_fix,,,master data owner,"(data steward, 69, great)",69.0,data steward,great
354,master data manager governance & quality,1,master data manager governance quality,"(master data governance quality, [level], [master data governance quality])",level,manager,,master data governance quality,"(master data governance, 85, great)",85.0,master data governance,great
355,master data analyst,1,master data analyst,"(master data analyst, [to_fix], [master data analyst])",to_fix,,,master data analyst,"(database analyst, 86, common)",86.0,database analyst,common
356,"mananger, data & information",1,mananger data information,"(mananger data information, [to_fix], [mananger data information])",to_fix,,,mananger data information,"(information management, 77, great)",77.0,information management,great
357,"managing director, fw engineering & architecture",1,managing director fw engineering architecture,"(fw engineering architecture, [level], [fw engineering architecture])",level,managing director,,fw engineering architecture,"(data engineering, 65, common)",65.0,data engineering,common
358,"managing director, data management",1,managing director data management,"(data management, [great], [None])",great,managing director,data management,,,,,
359,"managing director, chief technology officer, data acquisition & hosting",1,managing director chief technology officer data acquisition hosting,"(chief technology officer data acquisition hosting, [level], [chief technology officer data acquisition hosting])",level,managing director,,chief technology officer data acquisition hosting,"(chief technology officer, 66, common)",66.0,chief technology officer,common
360,managing director codit,1,managing director codit,"(codit, [level], [codit])",level,managing director,,codit,"(architect, 43, great)",43.0,architect,great
361,managing director - financial systems,1,managing director financial systems,"(financial systems, [level], [financial systems])",level,managing director,financial systems,,,,,
362,"manager, technology supplier management at capital one",1,manager technology supplier management at capital one,"(technology supplier management at capital one, [level], [technology supplier management at capital one])",level,manager,,technology supplier management at capital one,"(chief technology officer, 55, common)",55.0,chief technology officer,common
363,"manager, project portfolio mgmt and dg coordinator/lead steward",1,manager project portfolio management and data governance coordinator lead steward,"(portfolio management data governance coordinator steward, [level], [portfolio management data governance coordinator steward])",level,manager project lead,,portfolio management data governance coordinator steward,"(master data governance, 56, great)",56.0,master data governance,great
364,"manager, information services",1,manager information services,"(information services, [level], [information services])",level,manager,,information services,"(informatics, 71, great)",71.0,informatics,great
365,"manager, information management strategy & planning at adobe",1,manager information management strategy planning at adobe,"(information management strategy planning at adobe, [level], [information management strategy planning at adobe])",level,manager,,information management strategy planning at adobe,"(information management, 62, great)",62.0,information management,great
366,"manager, global master data management",1,manager global master data management,"(master data management, [level], [master data management])",level,manager global,,master data management,"(master data manager, 88, common)",88.0,master data manager,common
367,"manager, ent. tech. services",1,manager ent tech services,"(ent tech services, [level], [ent tech services])",level,manager,,ent tech services,"(data services, 67, great)",67.0,data services,great
368,"manager, data management",1,manager data management,"(data management, [great], [None])",great,manager,data management,,,,,
369,"manager, data governance program office",1,manager data governance program office,"(data governance program office, [level], [data governance program office])",level,manager,,data governance program office,"(master data governance, 69, great)",69.0,master data governance,great
370,"manager, data analytics",1,manager data analytics,"(data analytics, [level], [data analytics])",level,manager,,data analytics,"(data analysis, 89, common)",89.0,data analysis,common
371,"manager, business process review",1,manager business process review,"(business process review, [level], [business process review])",level,manager,,business process review,"(business intelligence process, 62, great)",62.0,business intelligence process,great
372,"manager, business intelligence & data warehousing",1,manager business intelligence data warehousing,"(business intelligence data warehousing, [level], [business intelligence data warehousing])",level,manager,,business intelligence data warehousing,"(business intelligence process, 75, great)",75.0,business intelligence process,great
373,"manager, analytics coe",1,manager analytics coe,"(analytics coe, [level], [analytics coe])",level,manager,,analytics coe,"(analytics, 82, great)",82.0,analytics,great
374,"manager, analytics",1,manager analytics,"(accounting manager, [great], [None])",great,manager,accounting manager,,,,,
375,"manager -transportation, distribution, and database reporting",1,manager transportation distribution and database reporting,"(transportation distribution database reporting, [level], [transportation distribution database reporting])",level,manager,,transportation distribution database reporting,"(data protection officer, 46, great)",46.0,data protection officer,great
376,"manager of data management, enterprise data governance",1,manager of data management enterprise data governance,"(data management enterprise data governance, [level], [data management enterprise data governance])",level,manager of,,data management enterprise data governance,"(enterprise information management, 69, common)",69.0,enterprise information management,common
377,manager of data governance,1,manager of data governance,"(master data governance, [great], [None])",great,manager of,master data governance,,,,,
378,manager of data architecture,1,manager of data architecture,"(data architecture, [great], [None])",great,manager of,data architecture,,,,,
